"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 139 ,"",Precinct 139,"",""
Registration & Turnout ,"","1,843 DEM - WARD FIVE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",694 37.66% Audrey M. Ray 17 ,"",2.30%
Absentee Turnout ,"",56 3.04% Ron L. Magnus 25 ,"",3.38%
Provisional Turnout ,"",22 1.19% Rae Zapata 71 ,"",9.59%
Total... ,"",772 41.89% Joe Harris 2 ,"",0.27%
"","",Vera Winfield 6 ,"",0.81%
Democratic Registration & Turnout ,"","1,780 Frank Wilds 67 ","",9.05%
Election Day Turnout ,"","686 38.54% Harry (Tommy) Thomas, Jr. 439 ","",59.32%
Absentee Turnout ,"",54 3.03% Kathy Henderson 17 ,"",2.30%
Provisional Turnout ,"","21 1.18% Write In, if any 3 ","",0.41%
Total... ,"",761 42.75% Total... 740 ,"",100.00%
Republican Registration & Turnout ,"",48 DEM - UNITED STATES SENATOR ,"",(Final)
Election Day Turnout ,"",8 16.67% Michael D. Brown 484 ,"",75.98%
Absentee Turnout ,"",1 2.08% Philip Pannell 146 ,"",22.92%
Provisional Turnout ,"","1 2.08% Write In, if any 7 ","",1.10%
Total... ,"",10 20.83% Total... 637 ,"",100.00%
DC Statehood Green Party Registration & Turnout ,"",15 DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Election Day Turnout ,"",0 0.00% Mike Panetta 237 ,"",40.72%
Absentee Turnout ,"",1 6.67% John J. Forster 251 ,"",43.13%
Provisional Turnout ,"",0 0.00% James S. Bubar 84 ,"",14.43%
Total... ,"","1 6.67% Write In, if any 10 ","",1.72%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 582 ,"",100.00%
Andy Miscuk ,"",14 1.94% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
Eleanor Holmes Norton ,"","701 97.36% Write In, if any 1 ","",100.00%
"Write In, if any ","",5 0.69%,"",""
"","",Total... 1 ,"",100.00%
Total... ,"",720 100.00%,"",""
"","",REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) David W. Kranich 4 ,"",57.14%
Vincent Orange ,"","124 16.38% Write In, if any 3 ","",42.86%
Adrian Fenty ,"",326 43.06%,"",""
Michael A. Brown ,"",4 Total... 7 0.53%,"",100.00%
Linda Cropp ,"",274 36.20% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","0 0.00% Write In, if any 1 ","",100.00%
Marie Johns ,"",29 3.83% Total... 1 ,"",100.00%
Nestor Djonkam ,"",0 0.00%,"",""
"Write In, if any ","",0 REP - AT-LARGE MEMBER OF THE COUNCIL 0.00%,"",(Final)
"","",Marcus Skelton 8 ,"",88.89%
Total... ,"","757 100.00% Write In, if any 1 ","",11.11%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 9 ,"",100.00%
Vincent C. Gray ,"",506 71.17%,"",""
Kathy Patterson ,"",205 REP - WARD FIVE MEMBER OF THE COUNCIL 28.83%,"",(Final)
"Write In, if any ","","0 0.00% Write In, if any 4 ","",100.00%
Total... ,"",711 100.00% Total... 4 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) REP - UNITED STATES SENATOR ,"",(Final)
Phil Mendelson ,"","320 48.78% Write In, if any 3 ","",100.00%
A. Scott Bolden ,"",334 50.91% Total... 3 ,"",100.00%
"Write In, if any ","",2 0.30% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","656 100.00% Write In, if any 1 ","",100.00%
DEM - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final) Total... 1 ,"",100.00%
Regina James ,"",32 4.32% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Deborah ''Debbie'' Smith ,"","11 1.49% Write In, if any 0 ","",0.00%
Bruce A. Marshall ,"",50 6.76%,"",""
"","",Total... 0 ,"",0.00%
