"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 66 ,Precinct 66,"",""
DEM - WARD FIVE MEMBER OF THE COUNCIL ,(Final) SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Audrey M. Ray ,22 1.14% Chris Otten ,1 ,100.00%
Ron L. Magnus ,"66 3.41% Write In, if any ",0 ,0.00%
Rae Zapata ,111 5.74% Total... ,1 ,100.00%
Joe Harris ,9 0.47%,"",""
Vera Winfield ,17 SG - CHAIRMAN OF THE COUNCIL 0.88%,"",(Final)
Frank Wilds ,"842 43.54% Write In, if any ",0 ,0.00%
"Harry (Tommy) Thomas, Jr. ",480 24.82% Total... ,0 ,0.00%
Kathy Henderson ,53 2.74% SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"Write In, if any ",1 0.05% Ann C. Wilcox ,1 ,100.00%
Total... ,"1,934 100.00% Write In, if any ",0 ,0.00%
DEM - UNITED STATES SENATOR ,(Final) Total... ,1 ,100.00%
Michael D. Brown ,1353 77.36% SG - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final)
Philip Pannell ,374 21.38% Carolyn C. Steptoe ,1 ,100.00%
"Write In, if any ","22 1.26% Philip Blair, Jr. ",0 ,0.00%
Total... ,"1,749 100.00% Write In, if any ",0 ,0.00%
DEM - UNITED STATES REPRESENTATIVE ,(Final) Total... ,1 ,100.00%
Mike Panetta ,721 44.23% SG - UNITED STATES SENATOR ,"",(Final)
John J. Forster ,614 37.67% Joyce Robinson-Paul ,1 ,100.00%
James S. Bubar ,"264 16.20% Write In, if any ",0 ,0.00%
"Write In, if any ",31 1.90%,"",""
"",Total... ,1 ,100.00%
Total... ,"1,630 100.00%","",""
"",SG - UNITED STATES REPRESENTATIVE ,"",(Final)
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final) Keith R. Ware ,1 ,100.00%
"Write In, if any ","2 100.00% Write In, if any ",0 ,0.00%
Total... ,2 100.00% Total... ,1 ,100.00%
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"",""
David W. Kranich ,6 60.00%,"",""
"Write In, if any ",4 40.00%,"",""
Total... ,10 100.00%,"",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"",""
"Write In, if any ",2 100.00%,"",""
Total... ,2 100.00%,"",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"",""
Marcus Skelton ,7 87.50%,"",""
"Write In, if any ",1 12.50%,"",""
Total... ,8 100.00%,"",""
REP - WARD FIVE MEMBER OF THE COUNCIL ,(Final),"",""
"Write In, if any ",4 100.00%,"",""
Total... ,4 100.00%,"",""
REP - UNITED STATES SENATOR ,(Final),"",""
"Write In, if any ",2 100.00%,"",""
Total... ,2 100.00%,"",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"",""
"Write In, if any ",2 100.00%,"",""
Total... ,2 100.00%,"",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"",""
"Write In, if any ",0 0.00%,"",""
Total... ,0 0.00%,"",""
