"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 91 ,"",Precinct 92,"",""
SG - CHAIRMAN OF THE COUNCIL ,"",(Final) Registration & Turnout ,"","1,394"
"Write In, if any ","",3 100.00% Election Day Turnout ,419 ,30.06%
Total... ,"",3 100.00% Absentee Turnout ,3 ,0.22%
"","",Provisional Turnout ,12 ,0.86%
SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final),"",""
Ann C. Wilcox ,"",3 Total... 75.00%,434 ,31.13%
"Write In, if any ","",1 25.00% Democratic Registration & Turnout ,"","1,309"
Total... ,"",4 100.00% Election Day Turnout ,411 ,31.40%
"","",Absentee Turnout ,3 ,0.23%
SG - WARD SIX MEMBER OF THE COUNCIL ,"",(Final) Provisional Turnout ,12 ,0.92%
"Write In, if any ","",3 100.00%,"",""
"","",Total... ,426 ,32.54%
Total... ,"",3 100.00%,"",""
"","",Republican Registration & Turnout ,"",66
SG - UNITED STATES SENATOR ,"",(Final) Election Day Turnout ,7 ,10.61%
Joyce Robinson-Paul ,"",3 100.00% Absentee Turnout ,0 ,0.00%
"Write In, if any ","",0 0.00% Provisional Turnout ,0 ,0.00%
Total... ,"",3 100.00% Total... ,7 ,10.61%
SG - UNITED STATES REPRESENTATIVE ,"",(Final) DC Statehood Green Party Registration & Turnout ,"",19
Keith R. Ware ,"",3 100.00% Election Day Turnout ,1 ,5.26%
"Write In, if any ","",0 0.00% Absentee Turnout ,0 ,0.00%
Total... ,"",3 100.00% Provisional Turnout ,0 ,0.00%
"","",Total... ,1 ,5.26%
"","",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"","",Andy Miscuk ,11 ,2.68%
"","",Eleanor Holmes Norton ,395 ,96.34%
"","","Write In, if any ",4 ,0.98%
"","",Total... ,410 ,100.00%
"","",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Vincent Orange ,25 ,5.88%
"","",Adrian Fenty ,222 ,52.24%
"","",Michael A. Brown ,5 ,1.18%
"","",Linda Cropp ,159 ,37.41%
"","",Artee (RT) Milligan ,1 ,0.24%
"","",Marie Johns ,13 ,3.06%
"","",Nestor Djonkam ,0 ,0.00%
"","","Write In, if any ",0 ,0.00%
"","",Total... ,425 ,100.00%
"","",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"","",Vincent C. Gray ,354 ,85.51%
"","",Kathy Patterson ,59 ,14.25%
"","","Write In, if any ",1 ,0.24%
"","",Total... ,414 ,100.00%
"","",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"","",Phil Mendelson ,206 ,52.55%
"","",A. Scott Bolden ,185 ,47.19%
"","","Write In, if any ",1 ,0.26%
"","",Total... ,392 ,100.00%
"","",DEM - UNITED STATES SENATOR ,"",(Final)
"","",Michael D. Brown ,324 ,83.08%
"","",Philip Pannell ,64 ,16.41%
