"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Subdivision Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
City of Washington Ward 7 ,City of Washington Ward 7,"","",""
Registration & Turnout (0) ,"42,936 DEM - UNITED STATES REPRESENTATIVE (24) ","",24/24 ,100.00%
Election Day Turnout ,"13,669 31.84% Mike Panetta ","","4,994 ",42.71%
Absentee Turnout ,237 0.55% John J. Forster ,"","4,720 ",40.37%
Provisional Turnout ,401 0.93% James S. Bubar ,"","1,792 ",15.33%
Total... ,"14,307 33.32% Write In, if any ","",186 ,1.59%
Democratic Registration & Turnout (0) ,"40,636 Total... ","","11,692 ",100.00%
Election Day Turnout ,"13,372 32.91% REP - DELEGATE TO THE U.S. HOUSE OF REP(R2E4)S ","",24/24 ,100.00%
Absentee Turnout ,"230 0.57% Write In, if any ","",59 ,100.00%
Provisional Turnout ,400 0.98% Total... ,"",59 ,100.00%
Total... ,"14,002 34.46% REP - MAYOR OF THE DISTRICT OF COLUMBI(A24) ","",24/24 ,100.00%
Republican Registration & Turnout (0) ,"1,772 David W. Kranich ","",58 ,43.94%
Election Day Turnout ,"134 7.56% Write In, if any ","",74 ,56.06%
Absentee Turnout ,5 0.28% Total... ,"",132 ,100.00%
Provisional Turnout ,1 0.06% REP - CHAIRMAN OF THE COUNCIL (24) ,"",24/24 ,100.00%
Total... ,"140 7.90% Write In, if any ","",49 ,100.00%
DC Statehood Green Party Registration & Turno(u0t) ,528 Total... ,"",49 ,100.00%
Election Day Turnout ,40 7.58% REP - AT-LARGE MEMBER OF THE COUNCIL (24) ,"",24/24 ,100.00%
Absentee Turnout ,2 0.38% Marcus Skelton ,"",89 ,77.39%
Provisional Turnout ,"0 0.00% Write In, if any ","",26 ,22.61%
Total... ,42 7.95% Total... ,"",115 ,100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REP(2R4E)S ,24/24 100.00% REP - UNITED STATES SENATOR (24) ,"",24/24 ,100.00%
Andy Miscuk ,"475 3.48% Write In, if any ","",26 ,100.00%
Eleanor Holmes Norton ,"13,133 96.18% Total... ","",26 ,100.00%
"Write In, if any ",47 0.34%,"","",""
Total... ,"13,655 100.00% REP - UNITED STATES REPRESENTATIVE (24) ","",24/24 ,100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBI(A24) ,"24/24 100.00% Write In, if any ","",28 ,100.00%
"",Total... ,"",28 ,100.00%
Vincent Orange ,544 3.87%,"","",""
Adrian Fenty ,"7,532 53.64% SG - DELEGATE TO THE U.S. HOUSE OF REPR(E24S)E ","",24/24 ,100.00%
Michael A. Brown ,"117 0.83% Write In, if any ","",26 ,100.00%
Linda Cropp ,"5,256 37.43% Total... ","",26 ,100.00%
Artee (RT) Milligan ,10 0.07% SG - MAYOR OF THE DISTRICT OF COLUMBIA(24) ,"",24/24 ,100.00%
Marie Johns ,564 4.02% Chris Otten ,"",11 ,28.95%
Nestor Djonkam ,"10 0.07% Write In, if any ","",27 ,71.05%
"Write In, if any ",10 0.07% Total... ,"",38 ,100.00%
Total... ,"14,043 100.00%","","",""
"",SG - CHAIRMAN OF THE COUNCIL (24) ,"",24/24 ,100.00%
DEM - CHAIRMAN OF THE COUNCIL (24) ,24/24 100.00%,"","",""
"","Write In, if any ","",20 ,100.00%
Vincent C. Gray ,"11,314 82.46% Total... ","",20 ,100.00%
Kathy Patterson ,"2,382 17.36%","","",""
"Write In, if any ",SG - AT-LARGE MEMBER OF THE COUNCIL (24) 250.18%,"",24/24 ,100.00%
Total... ,"13,721 100.00% Ann C. Wilcox ","",22 ,73.33%
"","Write In, if any","","",""
DEM - AT-LARGE MEMBER OF THE COUNCIL (24),24/24100.00%,"",8 ,26.67%
"",Total... ,"",30 ,100.00%
Phil Mendelson ,"6,798 51.57%","","",""
"",(24) ,"",24/24 ,100.00%
A. Scott Bolden ,"SG - UNITED STATES SENATOR6,31647.91%","","",""
"Write In, if any ",69 0.52% Joyce Robinson-Paul ,"",27 ,90.00%
Total... ,"13,183 100.00% Write In, if any ","",3 ,10.00%
"",Total... ,"",30 ,100.00%
DEM - UNITED STATES SENATOR (24) ,24/24 100.00%,"","",""
"",(24) ,"",24/24 ,100.00%
Michael D. Brown ,"SG - UNITED STATES REPRESENTATIVE10,04079.25%","","",""
Philip Pannell ,"2,535 20.01% Keith R. Ware ","",24 ,80.00%
"Write In, if any ","93 0.73% Write In, if any ","",6 ,20.00%
Total... ,"12,668 100.00% Total... ","",30 ,100.00%
