"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 1 ,"",Precinct 2,"",""
SG - CHAIRMAN OF THE COUNCIL ,"",(Final) Registration & Turnout ,"",552
"Write In, if any ","",0 0.00% Election Day Turnout ,51 ,9.24%
Total... ,"",0 0.00% Absentee Turnout ,2 ,0.36%
"","",Provisional Turnout ,10 ,1.81%
SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final),"",""
Ann C. Wilcox ,"",0 Total... 0.00%,63 ,11.41%
"Write In, if any ","",0 0.00% Democratic Registration & Turnout ,"",412
Total... ,"",0 0.00% Election Day Turnout ,46 ,11.17%
"","",Absentee Turnout ,1 ,0.24%
SG - WARD SIX MEMBER OF THE COUNCIL ,"",(Final) Provisional Turnout ,8 ,1.94%
"Write In, if any ","",0 0.00%,"",""
"","",Total... ,55 ,13.35%
Total... ,"",0 0.00%,"",""
"","",Republican Registration & Turnout ,"",133
SG - UNITED STATES SENATOR ,"",(Final) Election Day Turnout ,5 ,3.76%
Joyce Robinson-Paul ,"",0 0.00% Absentee Turnout ,1 ,0.75%
"Write In, if any ","",0 0.00% Provisional Turnout ,2 ,1.50%
Total... ,"",0 0.00% Total... ,8 ,6.02%
SG - UNITED STATES REPRESENTATIVE ,"",(Final) DC Statehood Green Party Registration & Turnout ,"",7
Keith R. Ware ,"",0 0.00% Election Day Turnout ,0 ,0.00%
"Write In, if any ","",0 0.00% Absentee Turnout ,0 ,0.00%
Total... ,"",0 0.00% Provisional Turnout ,0 ,0.00%
"","",Total... ,0 ,0.00%
"","",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"","",Andy Miscuk ,9 ,16.98%
"","",Eleanor Holmes Norton ,43 ,81.13%
"","","Write In, if any ",1 ,1.89%
"","",Total... ,53 ,100.00%
"","",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Vincent Orange ,2 ,3.70%
"","",Adrian Fenty ,33 ,61.11%
"","",Michael A. Brown ,0 ,0.00%
"","",Linda Cropp ,16 ,29.63%
"","",Artee (RT) Milligan ,0 ,0.00%
"","",Marie Johns ,3 ,5.56%
"","",Nestor Djonkam ,0 ,0.00%
"","","Write In, if any ",0 ,0.00%
"","",Total... ,54 ,100.00%
"","",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"","",Vincent C. Gray ,19 ,38.78%
"","",Kathy Patterson ,30 ,61.22%
"","","Write In, if any ",0 ,0.00%
"","",Total... ,49 ,100.00%
"","",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"","",Phil Mendelson ,45 ,93.75%
"","",A. Scott Bolden ,3 ,6.25%
"","","Write In, if any ",0 ,0.00%
"","",Total... ,48 ,100.00%
"","",DEM - UNITED STATES SENATOR ,"",(Final)
"","",Michael D. Brown ,29 ,69.05%
"","",Philip Pannell ,13 ,30.95%
