"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 39 ,"",Precinct 40,"",""
SG - CHAIRMAN OF THE COUNCIL ,"",(Final) Registration & Turnout ,"","3,021"
"Write In, if any ","",10 100.00% Election Day Turnout ,1090 ,36.08%
Total... ,"",10 100.00% Absentee Turnout ,49 ,1.62%
"","",Provisional Turnout ,32 ,1.06%
SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final),"",""
Ann C. Wilcox ,"",23 Total... 92.00%,"1,171 ",38.76%
"Write In, if any ","",2 8.00% Democratic Registration & Turnout ,"","2,668"
Total... ,"",25 100.00% Election Day Turnout ,1051 ,39.39%
"","",Absentee Turnout ,49 ,1.84%
SG - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Provisional Turnout ,32 ,1.20%
"Write In, if any ","",11 100.00%,"",""
"","",Total... ,"1,132 ",42.43%
Total... ,"",11 100.00%,"",""
"","",Republican Registration & Turnout ,"",227
SG - UNITED STATES SENATOR ,"",(Final) Election Day Turnout ,19 ,8.37%
Joyce Robinson-Paul ,"",23 95.83% Absentee Turnout ,0 ,0.00%
"Write In, if any ","",1 4.17% Provisional Turnout ,0 ,0.00%
Total... ,"",24 100.00% Total... ,19 ,8.37%
SG - UNITED STATES REPRESENTATIVE ,"",(Final) DC Statehood Green Party Registration & Turnout ,"",126
Keith R. Ware ,"",22 100.00% Election Day Turnout ,20 ,15.87%
"Write In, if any ","",0 0.00% Absentee Turnout ,0 ,0.00%
Total... ,"",22 100.00% Provisional Turnout ,0 ,0.00%
"","",Total... ,20 ,15.87%
"","",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"","",Andy Miscuk ,109 ,10.06%
"","",Eleanor Holmes Norton ,968 ,89.30%
"","","Write In, if any ",7 ,0.65%
"","",Total... ,"1,084 ",100.00%
"","",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Vincent Orange ,10 ,0.89%
"","",Adrian Fenty ,722 ,64.01%
"","",Michael A. Brown ,5 ,0.44%
"","",Linda Cropp ,275 ,24.38%
"","",Artee (RT) Milligan ,1 ,0.09%
"","",Marie Johns ,113 ,10.02%
"","",Nestor Djonkam ,2 ,0.18%
"","","Write In, if any ",0 ,0.00%
"","",Total... ,"1,128 ",100.00%
"","",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"","",Vincent C. Gray ,438 ,40.78%
"","",Kathy Patterson ,635 ,59.12%
"","","Write In, if any ",1 ,0.09%
"","",Total... ,"1,074 ",100.00%
"","",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"","",Phil Mendelson ,806 ,78.79%
"","",A. Scott Bolden ,210 ,20.53%
"","","Write In, if any ",7 ,0.68%
"","",Total... ,"1,023 ",100.00%
"","",DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
"","",Jim Graham ,957 ,88.45%
"","",Chad Williams ,112 ,10.35%
