"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 129 ,Precinct 130,"",""
SG - UNITED STATES SENATOR ,(Final) Registration & Turnout ,"","2,222"
"Write In, if any ",0 0.00% Election Day Turnout ,473 ,21.29%
Total... ,1 100.00% Absentee Turnout ,40 ,1.80%
"",Provisional Turnout ,17 ,0.77%
SG - UNITED STATES REPRESENTATIVE ,(Final),"",""
Keith R. Ware ,1 Total... 100.00%,530 ,23.85%
"Write In, if any ",0 0.00% Democratic Registration & Turnout ,"","1,593"
Total... ,1 100.00% Election Day Turnout ,439 ,27.56%
"",Absentee Turnout ,38 ,2.39%
"",Provisional Turnout ,11 ,0.69%
"",Total... ,488 ,30.63%
"",Republican Registration & Turnout ,"",597
"",Election Day Turnout ,33 ,5.53%
"",Absentee Turnout ,1 ,0.17%
"",Provisional Turnout ,6 ,1.01%
"",Total... ,40 ,6.70%
"",DC Statehood Green Party Registration & Turnout ,"",32
"",Election Day Turnout ,1 ,3.13%
"",Absentee Turnout ,1 ,3.13%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,2 ,6.25%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"",Andy Miscuk ,59 ,12.50%
"",Eleanor Holmes Norton ,406 ,86.02%
"","Write In, if any ",7 ,1.48%
"",Total... ,472 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,8 ,1.65%
"",Adrian Fenty ,263 ,54.12%
"",Michael A. Brown ,3 ,0.62%
"",Linda Cropp ,144 ,29.63%
"",Artee (RT) Milligan ,0 ,0.00%
"",Marie Johns ,67 ,13.79%
"",Nestor Djonkam ,0 ,0.00%
"","Write In, if any ",1 ,0.21%
"",Total... ,486 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,168 ,35.90%
"",Kathy Patterson ,300 ,64.10%
"","Write In, if any ",0 ,0.00%
"",Total... ,468 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,325 ,71.74%
"",A. Scott Bolden ,128 ,28.26%
"","Write In, if any ",0 ,0.00%
"",Total... ,453 ,100.00%
"",DEM - WARD SIX MEMBER OF THE COUNCIL ,"",(Final)
"",Leo Pinson ,50 ,10.99%
"","Curtis L. Etherly, Jr. ",36 ,7.91%
"",Tommy Wells ,360 ,79.12%
