"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Precinct Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
Precinct 116 ,Precinct 116,"","",""
DEM - UNITED STATES SENATOR ,(Final) SG - UNITED STATES SENATOR ,"","",(Final)
"Write In, if any ","6 0.96% Write In, if any ","",0 ,0.00%
Total... ,626 100.00% Total... ,"",0 ,0.00%
DEM - UNITED STATES REPRESENTATIVE ,(Final) SG - UNITED STATES REPRESENTATIVE ,"","",(Final)
Mike Panetta ,228 39.65% Keith R. Ware ,"",0 ,0.00%
John J. Forster ,"246 42.78% Write In, if any ","",0 ,0.00%
James S. Bubar ,89 15.48% Total... ,"",0 ,0.00%
"Write In, if any ",12 2.09%,"","",""
Total... ,575 100.00%,"","",""
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final),"","",""
"Write In, if any ",5 100.00%,"","",""
Total... ,5 100.00%,"","",""
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"","",""
David W. Kranich ,2 25.00%,"","",""
"Write In, if any ",6 75.00%,"","",""
Total... ,8 100.00%,"","",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"","",""
"Write In, if any ",4 100.00%,"","",""
Total... ,4 100.00%,"","",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"","",""
Marcus Skelton ,2 28.57%,"","",""
"Write In, if any ",5 71.43%,"","",""
Total... ,7 100.00%,"","",""
REP - UNITED STATES SENATOR ,(Final),"","",""
"Write In, if any ",3 100.00%,"","",""
Total... ,3 100.00%,"","",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"","",""
"Write In, if any ",3 100.00%,"","",""
Total... ,3 100.00%,"","",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"","",""
"Write In, if any ",1 100.00%,"","",""
Total... ,1 100.00%,"","",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"","",""
Chris Otten ,0 0.00%,"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,0 0.00%,"","",""
SG - CHAIRMAN OF THE COUNCIL ,(Final),"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,0 0.00%,"","",""
SG - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"","",""
Ann C. Wilcox ,0 0.00%,"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,0 0.00%,"","",""
SG - UNITED STATES SENATOR ,(Final),"","",""
Joyce Robinson-Paul ,0 0.00%,"","",""
