"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 83 ,"",Precinct 83,"",""
Registration & Turnout ,"","2,761 DEM - WARD SIX MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","822 29.77% Write In, if any 16 ","",1.96%
Absentee Turnout ,"",17 0.62% Total... 817 ,"",100.00%
Provisional Turnout ,"",41 1.48%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"",880 31.87% Michael D. Brown 548 ,"",73.16%
Democratic Registration & Turnout ,"","2,512 Philip Pannell 193 ","",25.77%
Election Day Turnout ,"","804 32.01% Write In, if any 8 ","",1.07%
Absentee Turnout ,"",17 0.68% Total... 749 ,"",100.00%
Provisional Turnout ,"",41 1.63%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"",862 34.32% Mike Panetta 303 ,"",44.04%
Republican Registration & Turnout ,"",203 John J. Forster 258 ,"",37.50%
Election Day Turnout ,"",12 5.91% James S. Bubar 113 ,"",16.42%
Absentee Turnout ,"","0 0.00% Write In, if any 14 ","",2.03%
Provisional Turnout ,"",0 0.00% Total... 688 ,"",100.00%
Total... ,"",12 5.91% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","46 Write In, if any 0 ","",0.00%
Election Day Turnout ,"",6 13.04% Total... 0 ,"",0.00%
Absentee Turnout ,"",0 0.00%,"",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"",(Final)
"","",David W. Kranich 7 ,"",70.00%
Total... ,"","6 13.04% Write In, if any 3 ","",30.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 10 ,"",100.00%
Andy Miscuk ,"",56 6.65%,"",""
Eleanor Holmes Norton ,"",779 REP - CHAIRMAN OF THE COUNCIL 92.52%,"",(Final)
"Write In, if any ","","7 0.83% Write In, if any 1 ","",100.00%
Total... ,"",842 100.00% Total... 1 ,"",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",30 3.48% Marcus Skelton 7 ,"",77.78%
Adrian Fenty ,"","405 47.04% Write In, if any 2 ","",22.22%
Michael A. Brown ,"",7 0.81% Total... 9 ,"",100.00%
Linda Cropp ,"",337 39.14% REP - WARD SIX MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"",2 0.23% Tony Williams 9 ,"",100.00%
Marie Johns ,"","75 8.71% Write In, if any 0 ","",0.00%
Nestor Djonkam ,"",5 0.58%,"",""
"Write In, if any ","",0 0.00% Total... 9 ,"",100.00%
Total... ,"",861 100.00% REP - UNITED STATES SENATOR ,"",(Final)
"","","Write In, if any 0 ","",0.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final),"",""
Vincent C. Gray ,"",559 67.27% Total... 0 ,"",0.00%
Kathy Patterson ,"",269 32.37% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
"Write In, if any ","","3 0.36% Write In, if any 0 ","",0.00%
Total... ,"",831 100.00% Total... 0 ,"",0.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Phil Mendelson ,"","407 50.00% Write In, if any 3 ","",100.00%
A. Scott Bolden ,"",403 49.51% Total... 3 ,"",100.00%
"Write In, if any ","",4 0.49%,"",""
"","",SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Total... ,"",814 100.00%,"",""
"","",Chris Otten 2 ,"",40.00%
DEM - WARD SIX MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 3 ","",60.00%
Leo Pinson ,"",173 21.18% Total... 5 ,"",100.00%
"Curtis L. Etherly, Jr. ","",216 26.44%,"",""
Tommy Wells ,"",412 50.43%,"",""
