"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 35 ,"",Precinct 36,"",""
SG - CHAIRMAN OF THE COUNCIL ,"",(Final) Registration & Turnout ,"","3,070"
"Write In, if any ","",4 100.00% Election Day Turnout ,639 ,20.81%
Total... ,"",4 100.00% Absentee Turnout ,24 ,0.78%
"","",Provisional Turnout ,25 ,0.81%
SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final),"",""
Ann C. Wilcox ,"",9 Total... 75.00%,688 ,22.41%
"Write In, if any ","",3 25.00% Democratic Registration & Turnout ,"","2,782"
Total... ,"",12 100.00% Election Day Turnout ,626 ,22.50%
"","",Absentee Turnout ,23 ,0.83%
SG - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Provisional Turnout ,25 ,0.90%
"Write In, if any ","",4 100.00%,"",""
"","",Total... ,674 ,24.23%
Total... ,"",4 100.00%,"",""
"","",Republican Registration & Turnout ,"",210
SG - UNITED STATES SENATOR ,"",(Final) Election Day Turnout ,11 ,5.24%
Joyce Robinson-Paul ,"",9 90.00% Absentee Turnout ,1 ,0.48%
"Write In, if any ","",1 10.00% Provisional Turnout ,0 ,0.00%
Total... ,"",10 100.00% Total... ,12 ,5.71%
SG - UNITED STATES REPRESENTATIVE ,"",(Final) DC Statehood Green Party Registration & Turnout ,"",78
Keith R. Ware ,"",9 90.00% Election Day Turnout ,2 ,2.56%
"Write In, if any ","",1 10.00% Absentee Turnout ,0 ,0.00%
Total... ,"",10 100.00% Provisional Turnout ,0 ,0.00%
"","",Total... ,2 ,2.56%
"","",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"","",Andy Miscuk ,59 ,9.41%
"","",Eleanor Holmes Norton ,563 ,89.79%
"","","Write In, if any ",5 ,0.80%
"","",Total... ,627 ,100.00%
"","",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Vincent Orange ,22 ,3.31%
"","",Adrian Fenty ,424 ,63.76%
"","",Michael A. Brown ,4 ,0.60%
"","",Linda Cropp ,176 ,26.47%
"","",Artee (RT) Milligan ,0 ,0.00%
"","",Marie Johns ,37 ,5.56%
"","",Nestor Djonkam ,2 ,0.30%
"","","Write In, if any ",0 ,0.00%
"","",Total... ,665 ,100.00%
"","",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"","",Vincent C. Gray ,369 ,59.90%
"","",Kathy Patterson ,246 ,39.94%
"","","Write In, if any ",1 ,0.16%
"","",Total... ,616 ,100.00%
"","",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"","",Phil Mendelson ,387 ,66.96%
"","",A. Scott Bolden ,188 ,32.53%
"","","Write In, if any ",3 ,0.52%
"","",Total... ,578 ,100.00%
"","",DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
"","",Jim Graham ,540 ,86.12%
"","",Chad Williams ,83 ,13.24%
