"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 103 ,Precinct 104,"",""
SG - UNITED STATES SENATOR ,(Final) Registration & Turnout ,"","2,214"
"Write In, if any ",0 0.00% Election Day Turnout ,562 ,25.38%
Total... ,1 100.00% Absentee Turnout ,12 ,0.54%
"",Provisional Turnout ,24 ,1.08%
SG - UNITED STATES REPRESENTATIVE ,(Final),"",""
Keith R. Ware ,1 Total... 100.00%,598 ,27.01%
"Write In, if any ",0 0.00% Democratic Registration & Turnout ,"","2,087"
Total... ,1 100.00% Election Day Turnout ,548 ,26.26%
"",Absentee Turnout ,11 ,0.53%
"",Provisional Turnout ,24 ,1.15%
"",Total... ,583 ,27.93%
"",Republican Registration & Turnout ,"",98
"",Election Day Turnout ,6 ,6.12%
"",Absentee Turnout ,0 ,0.00%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,6 ,6.12%
"",DC Statehood Green Party Registration & Turnout ,"",29
"",Election Day Turnout ,2 ,6.90%
"",Absentee Turnout ,1 ,3.45%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,3 ,10.34%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"",Andy Miscuk ,19 ,3.35%
"",Eleanor Holmes Norton ,546 ,96.30%
"","Write In, if any ",2 ,0.35%
"",Total... ,567 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,26 ,4.45%
"",Adrian Fenty ,308 ,52.74%
"",Michael A. Brown ,5 ,0.86%
"",Linda Cropp ,230 ,39.38%
"",Artee (RT) Milligan ,1 ,0.17%
"",Marie Johns ,14 ,2.40%
"",Nestor Djonkam ,0 ,0.00%
"","Write In, if any ",0 ,0.00%
"",Total... ,584 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,467 ,81.64%
"",Kathy Patterson ,105 ,18.36%
"","Write In, if any ",0 ,0.00%
"",Total... ,572 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,281 ,51.18%
"",A. Scott Bolden ,263 ,47.91%
"","Write In, if any ",5 ,0.91%
"",Total... ,549 ,100.00%
"",DEM - UNITED STATES SENATOR ,"",(Final)
"",Michael D. Brown ,433 ,82.16%
"",Philip Pannell ,88 ,16.70%
