"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Subdivision Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
City of Washington Ward 6 ,"",City of Washington Ward 6,"",""
DEM - UNITED STATES SENATOR (17) ,"",17/17 100.00% SG - WARD SIX MEMBER OF THE COUNCIL (17) ,17/17 ,100.00%
Michael D. Brown ,"","7,342 70.02% Write In, if any ",38 ,100.00%
Philip Pannell ,"","2,923 27.88% Total... ",38 ,100.00%
"Write In, if any ","",221 2.11% SG - UNITED STATES SENATOR (17) ,17/17 ,100.00%
Total... ,"","10,486 100.00% Joyce Robinson-Paul ",54 ,93.10%
DEM - UNITED STATES REPRESENTATIVE (17) ,"","17/17 100.00% Write In, if any ",4 ,6.90%
Mike Panetta ,"","4,708 49.39% Total... ",58 ,100.00%
John J. Forster ,"","2,878 30.19% SG - UNITED STATES REPRESENTATIVE (17) ",17/17 ,100.00%
James S. Bubar ,"","1,662 17.43% Keith R. Ware ",53 ,91.38%
"Write In, if any ","","285 2.99% Write In, if any ",5 ,8.62%
Total... ,"","9,533 100.00% Total... ",58 ,100.00%
REP - DELEGATE TO THE U.S. HOUSE OF REP(R1E7)S ,"",17/17 100.00%,"",""
"Write In, if any ","",129 100.00%,"",""
Total... ,"",129 100.00%,"",""
REP - MAYOR OF THE DISTRICT OF COLUMBI(A17) ,"",17/17 100.00%,"",""
David W. Kranich ,"",325 74.37%,"",""
"Write In, if any ","",112 25.63%,"",""
Total... ,"",437 100.00%,"",""
REP - CHAIRMAN OF THE COUNCIL (17) ,"",17/17 100.00%,"",""
"Write In, if any ","",101 100.00%,"",""
Total... ,"",101 100.00%,"",""
REP - AT-LARGE MEMBER OF THE COUNCIL (17) ,"",17/17 100.00%,"",""
Marcus Skelton ,"",356 89.67%,"",""
"Write In, if any ","",41 10.33%,"",""
Total... ,"",397 100.00%,"",""
REP - WARD SIX MEMBER OF THE COUNCIL (17) ,"",17/17 100.00%,"",""
Tony Williams ,"",376 88.26%,"",""
"Write In, if any ","",50 11.74%,"",""
Total... ,"",426 100.00%,"",""
REP - UNITED STATES SENATOR (17) ,"",17/17 100.00%,"",""
"Write In, if any ","",73 100.00%,"",""
Total... ,"",73 100.00%,"",""
REP - UNITED STATES REPRESENTATIVE (17) ,"",17/17 100.00%,"",""
"Write In, if any ","",72 100.00%,"",""
Total... ,"",72 100.00%,"",""
SG - DELEGATE TO THE U.S. HOUSE OF REPR(E17S)E ,"",17/17 100.00%,"",""
"Write In, if any ","",38 100.00%,"",""
Total... ,"",38 100.00%,"",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA(17) ,"",17/17 100.00%,"",""
Chris Otten ,"",35 48.61%,"",""
"Write In, if any ","",37 51.39%,"",""
Total... ,"",72 100.00%,"",""
SG - CHAIRMAN OF THE COUNCIL (17) ,"",17/17 100.00%,"",""
"Write In, if any ","",34 100.00%,"",""
Total... ,"",34 100.00%,"",""
SG - AT-LARGE MEMBER OF THE COUNCIL (17) ,"",17/17 100.00%,"",""
Ann C. Wilcox ,"",49 77.78%,"",""
"Write In, if any ","",14 22.22%,"",""
Total... ,"",63 100.00%,"",""
