"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 69 ,"",Precinct 69,"",""
Registration & Turnout ,"","2,183 DEM - WARD FIVE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",926 42.42% Audrey M. Ray 13 ,"",1.35%
Absentee Turnout ,"",29 1.33% Ron L. Magnus 28 ,"",2.92%
Provisional Turnout ,"",38 1.74% Rae Zapata 103 ,"",10.73%
Total... ,"",993 45.49% Joe Harris 5 ,"",0.52%
"","",Vera Winfield 9 ,"",0.94%
Democratic Registration & Turnout ,"","2,061 Frank Wilds 148 ","",15.42%
Election Day Turnout ,"","910 44.15% Harry (Tommy) Thomas, Jr. 454 ","",47.29%
Absentee Turnout ,"",29 1.41% Kathy Henderson 28 ,"",2.92%
Provisional Turnout ,"","38 1.84% Write In, if any 2 ","",0.21%
Total... ,"",977 47.40% Total... 960 ,"",100.00%
Republican Registration & Turnout ,"",105 DEM - UNITED STATES SENATOR ,"",(Final)
Election Day Turnout ,"",14 13.33% Michael D. Brown 618 ,"",73.48%
Absentee Turnout ,"",0 0.00% Philip Pannell 208 ,"",24.73%
Provisional Turnout ,"","0 0.00% Write In, if any 15 ","",1.78%
Total... ,"",14 13.33% Total... 841 ,"",100.00%
DC Statehood Green Party Registration & Turnout ,"",17 DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Election Day Turnout ,"",2 11.76% Mike Panetta 384 ,"",49.55%
Absentee Turnout ,"",0 0.00% John J. Forster 259 ,"",33.42%
Provisional Turnout ,"",0 0.00% James S. Bubar 109 ,"",14.06%
Total... ,"","2 11.76% Write In, if any 23 ","",2.97%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 775 ,"",100.00%
Andy Miscuk ,"",25 2.61% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
Eleanor Holmes Norton ,"","926 96.66% Write In, if any 6 ","",100.00%
"Write In, if any ","",7 0.73%,"",""
"","",Total... 6 ,"",100.00%
Total... ,"",958 100.00%,"",""
"","",REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) David W. Kranich 9 ,"",64.29%
Vincent Orange ,"","83 8.50% Write In, if any 5 ","",35.71%
Adrian Fenty ,"",508 52.00%,"",""
Michael A. Brown ,"",3 Total... 14 0.31%,"",100.00%
Linda Cropp ,"",342 35.01% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","3 0.31% Write In, if any 5 ","",100.00%
Marie Johns ,"",37 3.79% Total... 5 ,"",100.00%
Nestor Djonkam ,"",1 0.10%,"",""
"Write In, if any ","",0 REP - AT-LARGE MEMBER OF THE COUNCIL 0.00%,"",(Final)
"","",Marcus Skelton 9 ,"",64.29%
Total... ,"","977 100.00% Write In, if any 5 ","",35.71%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 14 ,"",100.00%
Vincent C. Gray ,"",600 63.76%,"",""
Kathy Patterson ,"",337 REP - WARD FIVE MEMBER OF THE COUNCIL 35.81%,"",(Final)
"Write In, if any ","","4 0.43% Write In, if any 9 ","",100.00%
Total... ,"",941 100.00% Total... 9 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) REP - UNITED STATES SENATOR ,"",(Final)
Phil Mendelson ,"","476 52.54% Write In, if any 5 ","",100.00%
A. Scott Bolden ,"",422 46.58% Total... 5 ,"",100.00%
"Write In, if any ","",8 0.88% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","906 100.00% Write In, if any 2 ","",100.00%
DEM - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final) Total... 2 ,"",100.00%
Regina James ,"",11 1.15% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Deborah ''Debbie'' Smith ,"","12 1.25% Write In, if any 1 ","",100.00%
Bruce A. Marshall ,"",147 15.31%,"",""
"","",Total... 1 ,"",100.00%
