"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Subdivision Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
City of Washington Ward 2 ,"",City of Washington Ward 3,"","",""
DEM - UNITED STATES REPRESENTATIVE (14) ,"",14/14 100.00% Registration & Turnout (0) ,"","40,410",""
Mike Panetta ,"","3,094 56.91% Election Day Turnout ","","14,678 ",36.32%
John J. Forster ,"","1,159 21.32% Absentee Turnout ","",785 ,1.94%
James S. Bubar ,"","1,011 18.59% Provisional Turnout ","",275 ,0.68%
"Write In, if any ","",173 3.18% Total... ,"","15,738 ",38.95%
Total... ,"","5,437 100.00% Democratic Registration & Turnout (0) ","","31,719",""
REP - DELEGATE TO THE U.S. HOUSE OF REP(R1E4)S ,"",14/14 100.00% Election Day Turnout ,"","13,769 ",43.41%
"Write In, if any ","",71 100.00% Absentee Turnout ,"",756 ,2.38%
Total... ,"",71 100.00% Provisional Turnout ,"",261 ,0.82%
REP - MAYOR OF THE DISTRICT OF COLUMBI(A14) ,"",14/14 100.00% Total... ,"","14,786 ",46.62%
David W. Kranich ,"",228 70.15% Republican Registration & Turnout (0) ,"","8,230",""
"Write In, if any ","",97 29.85% Election Day Turnout ,"",721 ,8.76%
Total... ,"",325 100.00% Absentee Turnout ,"",26 ,0.32%
REP - CHAIRMAN OF THE COUNCIL (14) ,"",14/14 100.00% Provisional Turnout ,"",14 ,0.17%
"Write In, if any ","",Total... 75100.00%,"",761 ,9.25%
Total... ,"",75 100.00% DC Statehood Green Party Registration & Turno(u0t) ,"",461,""
REP - AT-LARGE MEMBER OF THE COUNCIL (14) ,"",14/14 100.00% Election Day Turnout ,"",40 ,8.68%
Marcus Skelton ,"",Absentee Turnout24987.99% ,"",3 ,0.65%
"Write In, if any ","",Provisional Turnout3412.01% ,"",0 ,0.00%
Total... ,"",283 100.00% Total... ,"",43 ,9.33%
REP - UNITED STATES SENATOR (14) ,"",14/14 100.00% DEM - DELEGATE TO THE U.S. HOUSE OF REP(1R7E)S ,"",17/17 ,100.00%
"Write In, if any ","",Andy Miscuk40100.00% ,"","1,453 ",10.22%
Total... ,"",40 100.00% Eleanor Holmes Norton ,"","12,629 ",88.80%
"","","Write In, if any ","",140 ,0.98%
REP - UNITED STATES REPRESENTATIVE (14) ,"",14/14 100.00% Total... ,"","14,222 ",100.00%
"Write In, if any ","",40 100.00% DEM - MAYOR OF THE DISTRICT OF COLUMBI(A17) ,"",17/17 ,100.00%
Total... ,"",40 100.00%,"","",""
"","",Vincent Orange ,"",118 ,0.79%
SG - DELEGATE TO THE U.S. HOUSE OF REPR(E14S)E ,"",14/14 100.00% Adrian Fenty ,"","8,147 ",54.86%
"Write In, if any ","",15 100.00% Michael A. Brown ,"",52 ,0.35%
Total... ,"",15 100.00% Linda Cropp ,"","4,120 ",27.74%
SG - MAYOR OF THE DISTRICT OF COLUMBIA(14) ,"",14/14 100.00% Artee (RT) Milligan ,"",8 ,0.05%
Chris Otten ,"",25 60.98% Marie Johns ,"","2,366 ",15.93%
"Write In, if any ","",16 39.02% Nestor Djonkam ,"",5 ,0.03%
Total... ,"","41 100.00% Write In, if any ","",35 ,0.24%
"","",Total... ,"","14,851 ",100.00%
SG - CHAIRMAN OF THE COUNCIL (14) ,"",14/14 100.00%,"","",""
"","",DEM - CHAIRMAN OF THE COUNCIL (17) ,"",17/17 ,100.00%
"Write In, if any ","",15 100.00%,"","",""
Total... ,"",15 100.00% Vincent C. Gray ,"","3,717 ",25.69%
"","",Kathy Patterson ,"","10,726 ",74.13%
SG - AT-LARGE MEMBER OF THE COUNCIL (14) ,"","14/14 100.00% Write In, if any ","",27 ,0.19%
Ann C. Wilcox ,"",36 90.00% Total... ,"","14,470 ",100.00%
"Write In, if any ","",4 10.00% DEM - AT-LARGE MEMBER OF THE COUNCIL (17) ,"",17/17 ,100.00%
Total... ,"",40 100.00%,"","",""
"","",Phil Mendelson ,"","11,795 ",85.60%
SG - UNITED STATES SENATOR (14) ,"",14/14 100.00% A. Scott Bolden ,"","1,934 ",14.03%
Joyce Robinson-Paul ,"","36 94.74% Write In, if any ","",51 ,0.37%
"Write In, if any ","",2 5.26% Total... ,"","13,780 ",100.00%
Total... ,"",38 100.00%,"","",""
"","",DEM - WARD THREE MEMBER OF THE COUNC(I1L7) ,"",17/17 ,100.00%
SG - UNITED STATES REPRESENTATIVE (14) ,"",14/14 100.00% Bill Rice ,"",954 ,6.54%
Keith R. Ware ,"",37 97.37% Paul Strauss ,"","2,110 ",14.46%
"Write In, if any ","",1 2.63% Jonathan Rees ,"",32 ,0.22%
Total... ,"",38 100.00% Sam Brooks ,"","1,191 ",8.16%
"","",Erik S. Gaull ,"","1,023 ",7.01%
