"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 59 ,Precinct 60,"",""
SG - UNITED STATES SENATOR ,(Final) Registration & Turnout ,"","1,782"
"Write In, if any ",1 33.33% Election Day Turnout ,675 ,37.88%
Total... ,3 100.00% Absentee Turnout ,12 ,0.67%
"",Provisional Turnout ,11 ,0.62%
SG - UNITED STATES REPRESENTATIVE ,(Final),"",""
Keith R. Ware ,3 Total... 100.00%,698 ,39.17%
"Write In, if any ",0 0.00% Democratic Registration & Turnout ,"","1,648"
Total... ,3 100.00% Election Day Turnout ,666 ,40.41%
"",Absentee Turnout ,12 ,0.73%
"",Provisional Turnout ,11 ,0.67%
"",Total... ,689 ,41.81%
"",Republican Registration & Turnout ,"",107
"",Election Day Turnout ,6 ,5.61%
"",Absentee Turnout ,0 ,0.00%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,6 ,5.61%
"",DC Statehood Green Party Registration & Turnout ,"",27
"",Election Day Turnout ,3 ,11.11%
"",Absentee Turnout ,0 ,0.00%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,3 ,11.11%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"",Andy Miscuk ,22 ,3.32%
"",Eleanor Holmes Norton ,637 ,96.08%
"","Write In, if any ",4 ,0.60%
"",Total... ,663 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,14 ,2.04%
"",Adrian Fenty ,469 ,68.27%
"",Michael A. Brown ,4 ,0.58%
"",Linda Cropp ,174 ,25.33%
"",Artee (RT) Milligan ,0 ,0.00%
"",Marie Johns ,25 ,3.64%
"",Nestor Djonkam ,0 ,0.00%
"","Write In, if any ",1 ,0.15%
"",Total... ,687 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,441 ,69.34%
"",Kathy Patterson ,191 ,30.03%
"","Write In, if any ",4 ,0.63%
"",Total... ,636 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,331 ,54.35%
"",A. Scott Bolden ,275 ,45.16%
"","Write In, if any ",3 ,0.49%
"",Total... ,609 ,100.00%
"",DEM - UNITED STATES SENATOR ,"",(Final)
"",Michael D. Brown ,402 ,71.15%
"",Philip Pannell ,153 ,27.08%
