"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 44 ,Precinct 44,"",""
DEM - WARD FIVE MEMBER OF THE COUNCIL ,(Final) SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Audrey M. Ray ,21 2.90% Chris Otten ,3 ,50.00%
Ron L. Magnus ,"26 3.60% Write In, if any ",3 ,50.00%
Rae Zapata ,96 13.28% Total... ,6 ,100.00%
Joe Harris ,13 1.80%,"",""
Vera Winfield ,9 SG - CHAIRMAN OF THE COUNCIL 1.24%,"",(Final)
Frank Wilds ,"147 20.33% Write In, if any ",1 ,100.00%
"Harry (Tommy) Thomas, Jr. ",278 38.45% Total... ,1 ,100.00%
Kathy Henderson ,29 4.01% SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"Write In, if any ",4 0.55% Ann C. Wilcox ,4 ,100.00%
Total... ,"723 100.00% Write In, if any ",0 ,0.00%
DEM - UNITED STATES SENATOR ,(Final) Total... ,4 ,100.00%
Michael D. Brown ,518 78.01% SG - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final)
Philip Pannell ,138 20.78% Carolyn C. Steptoe ,3 ,60.00%
"Write In, if any ","8 1.20% Philip Blair, Jr. ",1 ,20.00%
Total... ,"664 100.00% Write In, if any ",1 ,20.00%
DEM - UNITED STATES REPRESENTATIVE ,(Final) Total... ,5 ,100.00%
Mike Panetta ,263 43.47% SG - UNITED STATES SENATOR ,"",(Final)
John J. Forster ,239 39.50% Joyce Robinson-Paul ,4 ,100.00%
James S. Bubar ,"96 15.87% Write In, if any ",0 ,0.00%
"Write In, if any ",7 1.16%,"",""
"",Total... ,4 ,100.00%
Total... ,605 100.00%,"",""
"",SG - UNITED STATES REPRESENTATIVE ,"",(Final)
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final) Keith R. Ware ,4 ,100.00%
"Write In, if any ","1 100.00% Write In, if any ",0 ,0.00%
Total... ,1 100.00% Total... ,4 ,100.00%
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"",""
David W. Kranich ,13 72.22%,"",""
"Write In, if any ",5 27.78%,"",""
Total... ,18 100.00%,"",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"",""
"Write In, if any ",2 100.00%,"",""
Total... ,2 100.00%,"",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"",""
Marcus Skelton ,15 93.75%,"",""
"Write In, if any ",1 6.25%,"",""
Total... ,16 100.00%,"",""
REP - WARD FIVE MEMBER OF THE COUNCIL ,(Final),"",""
"Write In, if any ",3 100.00%,"",""
Total... ,3 100.00%,"",""
REP - UNITED STATES SENATOR ,(Final),"",""
"Write In, if any ",1 100.00%,"",""
Total... ,1 100.00%,"",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"",""
"Write In, if any ",1 100.00%,"",""
Total... ,1 100.00%,"",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"",""
"Write In, if any ",1 100.00%,"",""
Total... ,1 100.00%,"",""
