"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 51 ,"",Precinct 51,"","",""
Registration & Turnout ,"","3,676 DEM - UNITED STATES SENATOR ","","",(Final)
Election Day Turnout ,"","1755 47.74% Write In, if any ",29 ,"",2.47%
Absentee Turnout ,"",113 3.07% Total... ,"1,173 ","",100.00%
Provisional Turnout ,"",23 0.63%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"","",(Final)
Total... ,"","1,891 51.44% Mike Panetta ",433 ,"",39.91%
Democratic Registration & Turnout ,"","3,009 John J. Forster ",134 ,"",12.35%
Election Day Turnout ,"",1690 56.16% James S. Bubar ,487 ,"",44.88%
Absentee Turnout ,"","110 3.66% Write In, if any ",31 ,"",2.86%
Provisional Turnout ,"",23 0.76% Total... ,"1,085 ","",100.00%
Total... ,"","1,823 60.58% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ","","",(Final)
Republican Registration & Turnout ,"","621 Write In, if any ",10 ,"",100.00%
Election Day Turnout ,"",57 9.18% Total... ,10 ,"",100.00%
Absentee Turnout ,"",3 0.48%,"","",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"","",(Final)
"","",David W. Kranich ,32 ,"",56.14%
Total... ,"","60 9.66% Write In, if any ",25 ,"",43.86%
DC Statehood Green Party Registration & Turnout ,"",46 Total... ,57 ,"",100.00%
Election Day Turnout ,"",8 17.39%,"","",""
Absentee Turnout ,"",0 REP - CHAIRMAN OF THE COUNCIL 0.00%,"","",(Final)
Provisional Turnout ,"","0 0.00% Write In, if any ",15 ,"",100.00%
Total... ,"",8 17.39% Total... ,15 ,"",100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
Andy Miscuk ,"",149 8.51% Marcus Skelton ,39 ,"",88.64%
Eleanor Holmes Norton ,"","1588 90.69% Write In, if any ",5 ,"",11.36%
"Write In, if any ","",14 0.80% Total... ,44 ,"",100.00%
Total... ,"","1,751 100.00% REP - UNITED STATES SENATOR ","","",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","(Final) Write In, if any ",3 ,"",100.00%
Vincent Orange ,"",11 0.60% Total... ,3 ,"",100.00%
Adrian Fenty ,"",1228 67.47% REP - UNITED STATES REPRESENTATIVE ,"","",(Final)
Michael A. Brown ,"","6 0.33% Write In, if any ",4 ,"",100.00%
Linda Cropp ,"",371 20.38%,"","",""
Artee (RT) Milligan ,"",0 0.00% Total... ,4 ,"",100.00%
Marie Johns ,"",201 11.04% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"","",(Final)
Nestor Djonkam ,"","1 0.05% Write In, if any ",2 ,"",100.00%
"Write In, if any ","",2 0.11% Total... ,2 ,"",100.00%
Total... ,"","1,820 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA ","","",(Final)
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Chris Otten ,3 ,"",37.50%
Vincent C. Gray ,"","648 36.40% Write In, if any ",5 ,"",62.50%
Kathy Patterson ,"",1131 63.54% Total... ,8 ,"",100.00%
"Write In, if any ","",1 0.06%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL ,"","",(Final)
Total... ,"","1,780 100.00%","","",""
"","","Write In, if any ",3 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) Total... ,3 ,"",100.00%
Phil Mendelson ,"",1329 77.13%,"","",""
A. Scott Bolden ,"",386 22.40% SG - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
"Write In, if any ","",8 0.46% Ann C. Wilcox ,4 ,"",66.67%
"","","Write In, if any ",2,"",""
Total... ,"","1,723 100.00% ","","",33.33%
"","",Total... ,6 ,"",100.00%
DEM - UNITED STATES SENATOR ,"",(Final),"","",""
Michael D. Brown ,"",854 72.80% SG - UNITED STATES SENATOR ,"","",(Final)
Philip Pannell ,"",290 24.72% Joyce Robinson-Paul ,6 ,"",100.00%
