"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 79 ,Precinct 80,"",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final) Registration & Turnout ,"","1,284"
Chris Otten ,1 50.00% Election Day Turnout ,418 ,32.55%
"Write In, if any ",1 50.00% Absentee Turnout ,5 ,0.39%
Total... ,2 100.00% Provisional Turnout ,14 ,1.09%
SG - CHAIRMAN OF THE COUNCIL ,(Final) Total... ,437 ,34.03%
"Write In, if any ",0 0.00% Democratic Registration & Turnout ,"","1,206"
Total... ,0 0.00% Election Day Turnout ,412 ,34.16%
"",Absentee Turnout ,5 ,0.41%
SG - AT-LARGE MEMBER OF THE COUNCIL ,(Final) Provisional Turnout ,14 ,1.16%
Ann C. Wilcox ,1 50.00%,"",""
"Write In, if any ",1 Total... 50.00%,431 ,35.74%
Total... ,2 100.00% Republican Registration & Turnout ,"",62
"",Election Day Turnout ,5 ,8.06%
SG - WARD FIVE MEMBER OF THE COUNCIL ,(Final) Absentee Turnout ,0 ,0.00%
Carolyn C. Steptoe ,1 50.00% Provisional Turnout ,0 ,0.00%
"Philip Blair, Jr. ",0 0.00%,"",""
"Write In, if any ",1 Total... 50.00%,5 ,8.06%
Total... ,2 100.00% DC Statehood Green Party Registration & Turnout ,"",16
"",Election Day Turnout ,1 ,6.25%
SG - UNITED STATES SENATOR ,(Final) Absentee Turnout ,0 ,0.00%
Joyce Robinson-Paul ,0 0.00% Provisional Turnout ,0 ,0.00%
"Write In, if any ",0 0.00%,"",""
"",Total... ,1 ,6.25%
Total... ,0 0.00%,"",""
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
SG - UNITED STATES REPRESENTATIVE ,(Final) Andy Miscuk ,25 ,6.02%
Keith R. Ware ,1 100.00% Eleanor Holmes Norton ,390 ,93.98%
"Write In, if any ","0 0.00% Write In, if any ",0 ,0.00%
Total... ,1 100.00% Total... ,415 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,13 ,3.05%
"",Adrian Fenty ,250 ,58.69%
"",Michael A. Brown ,1 ,0.23%
"",Linda Cropp ,124 ,29.11%
"",Artee (RT) Milligan ,1 ,0.23%
"",Marie Johns ,35 ,8.22%
"",Nestor Djonkam ,1 ,0.23%
"","Write In, if any ",1 ,0.23%
"",Total... ,426 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,348 ,84.26%
"",Kathy Patterson ,65 ,15.74%
"","Write In, if any ",0 ,0.00%
"",Total... ,413 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,273 ,69.29%
"",A. Scott Bolden ,119 ,30.20%
"","Write In, if any ",2 ,0.51%
"",Total... ,394 ,100.00%
"",DEM - UNITED STATES SENATOR ,"",(Final)
"",Michael D. Brown ,265 ,72.01%
"",Philip Pannell ,101 ,27.45%
