"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 1 ,"",Precinct 1,"",""
Registration & Turnout ,"","3,122 DEM - WARD SIX MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","647 20.72% Write In, if any 6 ","",0.94%
Absentee Turnout ,"",37 1.19% Total... 637 ,"",100.00%
Provisional Turnout ,"",49 1.57%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"",733 23.48% Michael D. Brown 470 ,"",77.30%
Democratic Registration & Turnout ,"","2,850 Philip Pannell 130 ","",21.38%
Election Day Turnout ,"","634 22.25% Write In, if any 8 ","",1.32%
Absentee Turnout ,"",37 1.30% Total... 608 ,"",100.00%
Provisional Turnout ,"",49 1.72%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"",720 25.26% Mike Panetta 198 ,"",36.26%
Republican Registration & Turnout ,"",219 John J. Forster 245 ,"",44.87%
Election Day Turnout ,"",12 5.48% James S. Bubar 94 ,"",17.22%
Absentee Turnout ,"","0 0.00% Write In, if any 9 ","",1.65%
Provisional Turnout ,"",0 0.00% Total... 546 ,"",100.00%
Total... ,"",12 5.48% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","53 Write In, if any 3 ","",100.00%
Election Day Turnout ,"",1 1.89% Total... 3 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"",(Final)
"","",David W. Kranich 7 ,"",58.33%
Total... ,"","1 1.89% Write In, if any 5 ","",41.67%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 12 ,"",100.00%
Andy Miscuk ,"",48 6.95%,"",""
Eleanor Holmes Norton ,"",639 REP - CHAIRMAN OF THE COUNCIL 92.47%,"",(Final)
"Write In, if any ","","4 0.58% Write In, if any 3 ","",100.00%
Total... ,"",691 100.00% Total... 3 ,"",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",23 3.22% Marcus Skelton 10 ,"",90.91%
Adrian Fenty ,"","400 55.94% Write In, if any 1 ","",9.09%
Michael A. Brown ,"",13 1.82% Total... 11 ,"",100.00%
Linda Cropp ,"",252 35.24% REP - WARD SIX MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"",2 0.28% Tony Williams 10 ,"",90.91%
Marie Johns ,"","24 3.36% Write In, if any 1 ","",9.09%
Nestor Djonkam ,"",1 0.14%,"",""
"Write In, if any ","",0 0.00% Total... 11 ,"",100.00%
Total... ,"",715 100.00% REP - UNITED STATES SENATOR ,"",(Final)
"","","Write In, if any 2","",""
DEM - CHAIRMAN OF THE COUNCIL,"",(Final) ,"",100.00%
Vincent C. Gray ,"",453 67.41% Total... 2 ,"",100.00%
Kathy Patterson ,"",215 31.99% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
"Write In, if any ","","4 0.60% Write In, if any 1 ","",100.00%
Total... ,"",672 100.00% Total... 1 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Phil Mendelson ,"","342 52.29% Write In, if any 0 ","",0.00%
A. Scott Bolden ,"",308 47.09% Total... 0 ,"",0.00%
"Write In, if any ","",4 0.61%,"",""
"","",SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Total... ,"",654 100.00%,"",""
"","",Chris Otten 0 ,"",0.00%
DEM - WARD SIX MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 1 ","",100.00%
Leo Pinson ,"",93 14.60% Total... 1 ,"",100.00%
"Curtis L. Etherly, Jr. ","",253 39.72%,"",""
Tommy Wells ,"",285 44.74%,"",""
