"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Subdivision Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
City of Washington Ward 8 ,City of Washington Ward 8,"","",""
Registration & Turnout (0) ,"35,916 DEM - UNITED STATES REPRESENTATIVE (16) ","",16/16 ,100.00%
Election Day Turnout ,"8,672 24.15% Mike Panetta ","","3,073 ",40.61%
Absentee Turnout ,131 0.36% John J. Forster ,"","3,261 ",43.09%
Provisional Turnout ,363 1.01% James S. Bubar ,"","1,088 ",14.38%
Total... ,"9,166 25.52% Write In, if any ","",146 ,1.93%
Democratic Registration & Turnout (0) ,"33,559 Total... ","","7,568 ",100.00%
Election Day Turnout ,"8,578 25.56% REP - DELEGATE TO THE U.S. HOUSE OF REP(R1E6)S ","",16/16 ,100.00%
Absentee Turnout ,"129 0.38% Write In, if any ","",33 ,100.00%
Provisional Turnout ,358 1.07% Total... ,"",33 ,100.00%
Total... ,"9,065 27.01% REP - MAYOR OF THE DISTRICT OF COLUMBI(A16) ","",16/16 ,100.00%
Republican Registration & Turnout (0) ,"1,762 David W. Kranich ","",20 ,29.85%
Election Day Turnout ,"69 3.92% Write In, if any ","",47 ,70.15%
Absentee Turnout ,2 0.11% Total... ,"",67 ,100.00%
Provisional Turnout ,5 0.28% REP - CHAIRMAN OF THE COUNCIL (16) ,"",16/16 ,100.00%
Total... ,"76 4.31% Write In, if any ","",23 ,100.00%
DC Statehood Green Party Registration & Turno(u0t) ,595 Total... ,"",23 ,100.00%
Election Day Turnout ,25 4.20% REP - AT-LARGE MEMBER OF THE COUNCIL (16) ,"",16/16 ,100.00%
Absentee Turnout ,0 0.00% Marcus Skelton ,"",45 ,73.77%
Provisional Turnout ,"0 0.00% Write In, if any ","",16 ,26.23%
Total... ,25 4.20% Total... ,"",61 ,100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REP(1R6E)S ,16/16 100.00% REP - UNITED STATES SENATOR (16) ,"",16/16 ,100.00%
Andy Miscuk ,"326 3.74% Write In, if any ","",21 ,100.00%
Eleanor Holmes Norton ,"8,344 95.74% Total... ","",21 ,100.00%
"Write In, if any ",45 0.52%,"","",""
Total... ,"8,715 100.00% REP - UNITED STATES REPRESENTATIVE (16) ","",16/16 ,100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBI(A16) ,"16/16 100.00% Write In, if any ","",15 ,100.00%
"",Total... ,"",15 ,100.00%
Vincent Orange ,352 3.92%,"","",""
Adrian Fenty ,"4,994 55.58% SG - DELEGATE TO THE U.S. HOUSE OF REPR(E16S)E ","",16/16 ,100.00%
Michael A. Brown ,"104 1.16% Write In, if any ","",8 ,100.00%
Linda Cropp ,"3,188 35.48% Total... ","",8 ,100.00%
Artee (RT) Milligan ,10 0.11% SG - MAYOR OF THE DISTRICT OF COLUMBIA(16) ,"",16/16 ,100.00%
Marie Johns ,317 3.53% Chris Otten ,"",7 ,33.33%
Nestor Djonkam ,"5 0.06% Write In, if any ","",14 ,66.67%
"Write In, if any ",15 0.17% Total... ,"",21 ,100.00%
Total... ,"8,985 100.00%","","",""
"",SG - CHAIRMAN OF THE COUNCIL (16) ,"",16/16 ,100.00%
DEM - CHAIRMAN OF THE COUNCIL (16) ,16/16 100.00%,"","",""
"","Write In, if any ","",10 ,100.00%
Vincent C. Gray ,"6,823 78.90% Total... ","",10 ,100.00%
Kathy Patterson ,"1,790 20.70%","","",""
"Write In, if any ",SG - AT-LARGE MEMBER OF THE COUNCIL (16) 350.40%,"",16/16 ,100.00%
Total... ,"8,648 100.00% Ann C. Wilcox ","",12 ,80.00%
"","Write In, if any","","",""
DEM - AT-LARGE MEMBER OF THE COUNCIL (16),16/16100.00%,"",3 ,20.00%
"",Total... ,"",15 ,100.00%
Phil Mendelson ,"4,271 50.92%","","",""
A. Scott Bolden ,"SG - UNITED STATES SENATOR (16) 4,05348.32%","",16/16 ,100.00%
"Write In, if any ",63 0.75% Joyce Robinson-Paul ,"",14 ,93.33%
Total... ,"8,387 100.00% Write In, if any ","",1 ,6.67%
"",Total... ,"",15 ,100.00%
DEM - UNITED STATES SENATOR (16) ,16/16 100.00%,"","",""
"",(16) ,"",16/16 ,100.00%
Michael D. Brown ,"SG - UNITED STATES REPRESENTATIVE6,00972.73%","","",""
Philip Pannell ,"2,189 26.49% Keith R. Ware ","",15 ,100.00%
"Write In, if any ","64 0.77% Write In, if any ","",0 ,0.00%
Total... ,"8,262 100.00% Total... ","",15 ,100.00%
