"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 11 ,Precinct 12,"",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final) Registration & Turnout ,"",668
Chris Otten ,1 33.33% Election Day Turnout ,218 ,32.63%
"Write In, if any ",2 66.67% Absentee Turnout ,20 ,2.99%
Total... ,3 100.00% Provisional Turnout ,3 ,0.45%
SG - CHAIRMAN OF THE COUNCIL ,(Final) Total... ,241 ,36.08%
"Write In, if any ",3 100.00% Democratic Registration & Turnout ,"",464
Total... ,3 100.00% Election Day Turnout ,190 ,40.95%
"",Absentee Turnout ,19 ,4.09%
SG - AT-LARGE MEMBER OF THE COUNCIL ,(Final) Provisional Turnout ,3 ,0.65%
Ann C. Wilcox ,3 100.00%,"",""
"Write In, if any ",0 Total... 0.00%,212 ,45.69%
Total... ,3 100.00% Republican Registration & Turnout ,"",200
"",Election Day Turnout ,28 ,14.00%
SG - WARD THREE MEMBER OF THE COUNCIL ,(Final) Absentee Turnout ,1 ,0.50%
"Write In, if any ",3 100.00% Provisional Turnout ,0 ,0.00%
Total... ,3 100.00% Total... ,29 ,14.50%
SG - UNITED STATES SENATOR ,(Final) DC Statehood Green Party Registration & Turnout ,"",4
Joyce Robinson-Paul ,3 100.00% Election Day Turnout ,0 ,0.00%
"Write In, if any ",0 0.00% Absentee Turnout ,0 ,0.00%
Total... ,3 100.00% Provisional Turnout ,0 ,0.00%
SG - UNITED STATES REPRESENTATIVE ,(Final) Total... ,0 ,0.00%
Keith R. Ware ,3 100.00% DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"Write In, if any ",0 0.00% Andy Miscuk ,20 ,10.00%
Total... ,3 100.00% Eleanor Holmes Norton ,178 ,89.00%
"","Write In, if any ",2 ,1.00%
"",Total... ,200 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,0 ,0.00%
"",Adrian Fenty ,99 ,46.92%
"",Michael A. Brown ,3 ,1.42%
"",Linda Cropp ,89 ,42.18%
"",Artee (RT) Milligan ,0 ,0.00%
"",Marie Johns ,20 ,9.48%
"",Nestor Djonkam ,0 ,0.00%
"","Write In, if any ",0 ,0.00%
"",Total... ,211 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,53 ,26.24%
"",Kathy Patterson ,148 ,73.27%
"","Write In, if any ",1 ,0.50%
"",Total... ,202 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,159 ,84.13%
"",A. Scott Bolden ,30 ,15.87%
"","Write In, if any ",0 ,0.00%
"",Total... ,189 ,100.00%
"",DEM - WARD THREE MEMBER OF THE COUNCIL ,"",(Final)
"",Bill Rice ,5 ,2.45%
"",Paul Strauss ,17 ,8.33%
"",Jonathan Rees ,1 ,0.49%
