"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 68 ,Precinct 68,"",""
DEM - WARD FIVE MEMBER OF THE COUNCIL ,(Final) SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Audrey M. Ray ,31 3.99% Chris Otten ,6 ,66.67%
Ron L. Magnus ,"44 5.66% Write In, if any ",3 ,33.33%
Rae Zapata ,76 9.78% Total... ,9 ,100.00%
Joe Harris ,4 0.51%,"",""
Vera Winfield ,27 SG - CHAIRMAN OF THE COUNCIL 3.47%,"",(Final)
Frank Wilds ,"172 22.14% Write In, if any ",2 ,100.00%
"Harry (Tommy) Thomas, Jr. ",299 38.48% Total... ,2 ,100.00%
Kathy Henderson ,18 2.32% SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"Write In, if any ",3 0.39% Ann C. Wilcox ,7 ,100.00%
Total... ,"777 100.00% Write In, if any ",0 ,0.00%
DEM - UNITED STATES SENATOR ,(Final) Total... ,7 ,100.00%
Michael D. Brown ,472 71.73% SG - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final)
Philip Pannell ,178 27.05% Carolyn C. Steptoe ,3 ,33.33%
"Write In, if any ","8 1.22% Philip Blair, Jr. ",6 ,66.67%
Total... ,"658 100.00% Write In, if any ",0 ,0.00%
DEM - UNITED STATES REPRESENTATIVE ,(Final) Total... ,9 ,100.00%
Mike Panetta ,315 51.98% SG - UNITED STATES SENATOR ,"",(Final)
John J. Forster ,191 31.52% Joyce Robinson-Paul ,8 ,100.00%
James S. Bubar ,"85 14.03% Write In, if any ",0 ,0.00%
"Write In, if any ",15 2.48%,"",""
"",Total... ,8 ,100.00%
Total... ,606 100.00%,"",""
"",SG - UNITED STATES REPRESENTATIVE ,"",(Final)
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final) Keith R. Ware ,7 ,100.00%
"Write In, if any ","2 100.00% Write In, if any ",0 ,0.00%
Total... ,2 100.00% Total... ,7 ,100.00%
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"",""
David W. Kranich ,10 62.50%,"",""
"Write In, if any ",6 37.50%,"",""
Total... ,16 100.00%,"",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"",""
"Write In, if any ",5 100.00%,"",""
Total... ,5 100.00%,"",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"",""
Marcus Skelton ,10 83.33%,"",""
"Write In, if any ",2 16.67%,"",""
Total... ,12 100.00%,"",""
REP - WARD FIVE MEMBER OF THE COUNCIL ,(Final),"",""
"Write In, if any ",7 100.00%,"",""
Total... ,7 100.00%,"",""
REP - UNITED STATES SENATOR ,(Final),"",""
"Write In, if any ",1 100.00%,"",""
Total... ,1 100.00%,"",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"",""
"Write In, if any ",0 0.00%,"",""
Total... ,0 0.00%,"",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"",""
"Write In, if any ",3 100.00%,"",""
Total... ,3 100.00%,"",""
