"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 301 ,"",Precinct 301,"","",""
Registration & Turnout ,"",0 DEM - UNITED STATES SENATOR,"","",""
Election Day Turnout ,"","0 0.00% Write In, if any ",0 ,"",0.00%
Absentee Turnout ,"",0 0.00% Total... ,0 ,"",0.00%
Provisional Turnout ,"",0 0.00%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE,"","",""
Total... ,"",0 0.00% Mike Panetta ,0 ,"",0.00%
Democratic Registration & Turnout ,"",0 John J. Forster ,0 ,"",0.00%
Election Day Turnout ,"",0 0.00% James S. Bubar ,0 ,"",0.00%
Absentee Turnout ,"","0 0.00% Write In, if any ",0 ,"",0.00%
Provisional Turnout ,"",0 0.00% Total... ,0 ,"",0.00%
Total... ,"",0 0.00% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE,"","",""
Republican Registration & Turnout ,"","0 Write In, if any ",0 ,"",0.00%
Election Day Turnout ,"",0 0.00% Total... ,0 ,"",0.00%
Absentee Turnout ,"",0 0.00%,"","",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA0.00%,"","",""
"","",David W. Kranich ,0 ,"",0.00%
Total... ,"","0 0.00% Write In, if any ",0 ,"",0.00%
DC Statehood Green Party Registration & Turnout ,"",0 Total... ,0 ,"",0.00%
Election Day Turnout ,"",0 0.00%,"","",""
Absentee Turnout ,"",0 REP - CHAIRMAN OF THE COUNCIL0.00%,"","",""
Provisional Turnout ,"","0 0.00% Write In, if any ",0 ,"",0.00%
Total... ,"",0 0.00% Total... ,0 ,"",0.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",REP - AT-LARGE MEMBER OF THE COUNCIL,"","",""
Andy Miscuk ,"",0 0.00% Marcus Skelton ,0 ,"",0.00%
Eleanor Holmes Norton ,"","0 0.00% Write In, if any ",0 ,"",0.00%
"Write In, if any ","",0 0.00% Total... ,0 ,"",0.00%
Total... ,"",0 0.00% REP - UNITED STATES SENATOR,"","",""
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","Write In, if any ",0 ,"",0.00%
Vincent Orange ,"",0 0.00% Total... ,0 ,"",0.00%
Adrian Fenty ,"",0 0.00% REP - UNITED STATES REPRESENTATIVE,"","",""
Michael A. Brown ,"","0 0.00% Write In, if any ",0 ,"",0.00%
Linda Cropp ,"",0 0.00%,"","",""
Artee (RT) Milligan ,"",0 0.00% Total... ,0 ,"",0.00%
Marie Johns ,"",0 0.00% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,"","",""
Nestor Djonkam ,"","0 0.00% Write In, if any ",0 ,"",0.00%
"Write In, if any ","",0 0.00% Total... ,0 ,"",0.00%
Total... ,"",0 0.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA,"","",""
DEM - CHAIRMAN OF THE COUNCIL ,"",Chris Otten ,0 ,"",0.00%
Vincent C. Gray ,"","0 0.00% Write In, if any ",0 ,"",0.00%
Kathy Patterson ,"",0 0.00% Total... ,0 ,"",0.00%
"Write In, if any ","",0 0.00%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL,"","",""
Total... ,"",0 0.00%,"","",""
"","","Write In, if any ",0 ,"",0.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",Total... ,0 ,"",0.00%
Phil Mendelson ,"",0 0.00%,"","",""
A. Scott Bolden ,"",0 0.00% SG - AT-LARGE MEMBER OF THE COUNCIL,"","",""
"Write In, if any ","",0 0.00% Ann C. Wilcox ,0 ,"",0.00%
"","","Write In, if any ",0,"",""
Total... ,"",0 0.00% ,"","",0.00%
"","",Total... ,0 ,"",0.00%
DEM - UNITED STATES SENATOR,"","","","",""
Michael D. Brown ,"",0 0.00% SG - UNITED STATES SENATOR,"","",""
Philip Pannell ,"",0 0.00% Joyce Robinson-Paul ,0 ,"",0.00%
