"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 5 ,"",Precinct 5,"","",""
Registration & Turnout ,"","2,830 DEM - UNITED STATES SENATOR ","","",(Final)
Election Day Turnout ,"","760 26.86% Write In, if any ",15 ,"",3.26%
Absentee Turnout ,"",43 1.52% Total... ,460 ,"",100.00%
Provisional Turnout ,"",14 0.49%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"","",(Final)
Total... ,"",817 28.87% Mike Panetta ,232 ,"",59.49%
Democratic Registration & Turnout ,"","2,034 John J. Forster ",66 ,"",16.92%
Election Day Turnout ,"",719 35.35% James S. Bubar ,74 ,"",18.97%
Absentee Turnout ,"","38 1.87% Write In, if any ",18 ,"",4.62%
Provisional Turnout ,"",13 0.64% Total... ,390 ,"",100.00%
Total... ,"",770 37.86% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","",(Final)
Republican Registration & Turnout ,"","763 Write In, if any ",8 ,"",100.00%
Election Day Turnout ,"",41 5.37% Total... ,8 ,"",100.00%
Absentee Turnout ,"",4 0.52%,"","",""
Provisional Turnout ,"",1 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.13%,"","",(Final)
"","",David W. Kranich ,34 ,"",75.56%
Total... ,"","46 6.03% Write In, if any ",11 ,"",24.44%
DC Statehood Green Party Registration & Turnout ,"",33 Total... ,45 ,"",100.00%
Election Day Turnout ,"",0 0.00%,"","",""
Absentee Turnout ,"",1 REP - CHAIRMAN OF THE COUNCIL 3.03%,"","",(Final)
Provisional Turnout ,"","0 0.00% Write In, if any ",9 ,"",100.00%
Total... ,"",1 3.03% Total... ,9 ,"",100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
Andy Miscuk ,"",84 11.37% Marcus Skelton ,37 ,"",94.87%
Eleanor Holmes Norton ,"","651 88.09% Write In, if any ",2 ,"",5.13%
"Write In, if any ","",4 0.54% Total... ,39 ,"",100.00%
Total... ,"",739 100.00% REP - UNITED STATES SENATOR ,"","",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","(Final) Write In, if any ",6 ,"",100.00%
Vincent Orange ,"",5 0.65% Total... ,6 ,"",100.00%
Adrian Fenty ,"",409 53.19% REP - UNITED STATES REPRESENTATIVE ,"","",(Final)
Michael A. Brown ,"","5 0.65% Write In, if any ",4 ,"",100.00%
Linda Cropp ,"",244 31.73%,"","",""
Artee (RT) Milligan ,"",1 0.13% Total... ,4 ,"",100.00%
Marie Johns ,"",105 13.65% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"","",(Final)
Nestor Djonkam ,"","0 0.00% Write In, if any ",0 ,"",0.00%
"Write In, if any ","",0 0.00% Total... ,0 ,"",0.00%
Total... ,"",769 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"","",(Final)
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Chris Otten ,1 ,"",100.00%
Vincent C. Gray ,"","234 31.92% Write In, if any ",0 ,"",0.00%
Kathy Patterson ,"",498 67.94% Total... ,1 ,"",100.00%
"Write In, if any ","",1 0.14%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL ,"","",(Final)
Total... ,"",733 100.00%,"","",""
"","","Write In, if any ",0 ,"",0.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) Total... ,0 ,"",0.00%
Phil Mendelson ,"",583 84.01%,"","",""
A. Scott Bolden ,"",108 15.56% SG - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
"Write In, if any ","",3 0.43% Ann C. Wilcox ,1 ,"",100.00%
"","","Write In, if any ",0,"",""
Total... ,"",694 100.00% ,"","",0.00%
"","",Total... ,1 ,"",100.00%
DEM - UNITED STATES SENATOR ,"",(Final),"","",""
Michael D. Brown ,"",344 74.78% SG - UNITED STATES SENATOR ,"","",(Final)
Philip Pannell ,"",101 21.96% Joyce Robinson-Paul ,1 ,"",100.00%
