"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Precinct Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
Precinct 6 ,Precinct 6,"","",""
DEM - UNITED STATES SENATOR ,(Final) SG - UNITED STATES SENATOR ,"","",(Final)
"Write In, if any ","12 3.24% Write In, if any ","",0 ,0.00%
Total... ,370 100.00% Total... ,"",5 ,100.00%
DEM - UNITED STATES REPRESENTATIVE ,(Final) SG - UNITED STATES REPRESENTATIVE ,"","",(Final)
Mike Panetta ,168 53.00% Keith R. Ware ,"",5 ,100.00%
John J. Forster ,"65 20.50% Write In, if any ","",0 ,0.00%
James S. Bubar ,72 22.71% Total... ,"",5 ,100.00%
"Write In, if any ",12 3.79%,"","",""
Total... ,317 100.00%,"","",""
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final),"","",""
"Write In, if any ",8 100.00%,"","",""
Total... ,8 100.00%,"","",""
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"","",""
David W. Kranich ,30 66.67%,"","",""
"Write In, if any ",15 33.33%,"","",""
Total... ,45 100.00%,"","",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"","",""
"Write In, if any ",8 100.00%,"","",""
Total... ,8 100.00%,"","",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"","",""
Marcus Skelton ,34 89.47%,"","",""
"Write In, if any ",4 10.53%,"","",""
Total... ,38 100.00%,"","",""
REP - UNITED STATES SENATOR ,(Final),"","",""
"Write In, if any ",6 100.00%,"","",""
Total... ,6 100.00%,"","",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"","",""
"Write In, if any ",4 100.00%,"","",""
Total... ,4 100.00%,"","",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"","",""
"Write In, if any ",2 100.00%,"","",""
Total... ,2 100.00%,"","",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"","",""
Chris Otten ,2 40.00%,"","",""
"Write In, if any ",3 60.00%,"","",""
Total... ,5 100.00%,"","",""
SG - CHAIRMAN OF THE COUNCIL ,(Final),"","",""
"Write In, if any ",2 100.00%,"","",""
Total... ,2 100.00%,"","",""
SG - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"","",""
Ann C. Wilcox ,5 100.00%,"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,5 100.00%,"","",""
SG - UNITED STATES SENATOR ,(Final),"","",""
Joyce Robinson-Paul ,5 100.00%,"","",""
