"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 77 ,Precinct 78,"",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final) Registration & Turnout ,"","2,402"
Chris Otten ,3 42.86% Election Day Turnout ,661 ,27.52%
"Write In, if any ",4 57.14% Absentee Turnout ,12 ,0.50%
Total... ,7 100.00% Provisional Turnout ,32 ,1.33%
SG - CHAIRMAN OF THE COUNCIL ,(Final) Total... ,705 ,29.35%
"Write In, if any ",2 100.00% Democratic Registration & Turnout ,"","2,270"
Total... ,2 100.00% Election Day Turnout ,657 ,28.94%
"",Absentee Turnout ,10 ,0.44%
SG - AT-LARGE MEMBER OF THE COUNCIL ,(Final) Provisional Turnout ,32 ,1.41%
Ann C. Wilcox ,4 80.00%,"",""
"Write In, if any ",1 Total... 20.00%,699 ,30.79%
Total... ,5 100.00% Republican Registration & Turnout ,"",100
"",Election Day Turnout ,2 ,2.00%
SG - WARD FIVE MEMBER OF THE COUNCIL ,(Final) Absentee Turnout ,2 ,2.00%
Carolyn C. Steptoe ,4 57.14% Provisional Turnout ,0 ,0.00%
"Philip Blair, Jr. ",2 28.57%,"",""
"Write In, if any ",1 Total... 14.29%,4 ,4.00%
Total... ,7 100.00% DC Statehood Green Party Registration & Turnout ,"",32
"",Election Day Turnout ,2 ,6.25%
SG - UNITED STATES SENATOR ,(Final) Absentee Turnout ,0 ,0.00%
Joyce Robinson-Paul ,4 66.67% Provisional Turnout ,0 ,0.00%
"Write In, if any ",2 33.33%,"",""
"",Total... ,2 ,6.25%
Total... ,6 100.00%,"",""
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
SG - UNITED STATES REPRESENTATIVE ,(Final) Andy Miscuk ,27 ,3.98%
Keith R. Ware ,5 83.33% Eleanor Holmes Norton ,650 ,95.87%
"Write In, if any ","1 16.67% Write In, if any ",1 ,0.15%
Total... ,6 100.00% Total... ,678 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,64 ,9.28%
"",Adrian Fenty ,344 ,49.86%
"",Michael A. Brown ,7 ,1.01%
"",Linda Cropp ,255 ,36.96%
"",Artee (RT) Milligan ,1 ,0.14%
"",Marie Johns ,18 ,2.61%
"",Nestor Djonkam ,0 ,0.00%
"","Write In, if any ",1 ,0.14%
"",Total... ,690 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,439 ,67.54%
"",Kathy Patterson ,209 ,32.15%
"","Write In, if any ",2 ,0.31%
"",Total... ,650 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,271 ,43.43%
"",A. Scott Bolden ,352 ,56.41%
"","Write In, if any ",1 ,0.16%
"",Total... ,624 ,100.00%
"",DEM - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final)
"",Regina James ,66 ,9.85%
"",Deborah ''Debbie'' Smith ,23 ,3.43%
"",Bruce A. Marshall ,21 ,3.13%
