"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Precinct Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
Precinct 18 ,Precinct 18,"","",""
DEM - UNITED STATES SENATOR ,(Final) SG - UNITED STATES SENATOR ,"","",(Final)
"Write In, if any ","9 1.16% Write In, if any ","",0 ,0.00%
Total... ,776 100.00% Total... ,"",8 ,100.00%
DEM - UNITED STATES REPRESENTATIVE ,(Final) SG - UNITED STATES REPRESENTATIVE ,"","",(Final)
Mike Panetta ,356 50.57% Keith R. Ware ,"",8 ,100.00%
John J. Forster ,"219 31.11% Write In, if any ","",0 ,0.00%
James S. Bubar ,111 15.77% Total... ,"",8 ,100.00%
"Write In, if any ",18 2.56%,"","",""
Total... ,704 100.00%,"","",""
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final),"","",""
"Write In, if any ",4 100.00%,"","",""
Total... ,4 100.00%,"","",""
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"","",""
David W. Kranich ,7 50.00%,"","",""
"Write In, if any ",7 50.00%,"","",""
Total... ,14 100.00%,"","",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"","",""
"Write In, if any ",5 100.00%,"","",""
Total... ,5 100.00%,"","",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"","",""
Marcus Skelton ,12 85.71%,"","",""
"Write In, if any ",2 14.29%,"","",""
Total... ,14 100.00%,"","",""
REP - UNITED STATES SENATOR ,(Final),"","",""
"Write In, if any ",1 100.00%,"","",""
Total... ,1 100.00%,"","",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"","",""
"Write In, if any ",1 100.00%,"","",""
Total... ,1 100.00%,"","",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"","",""
"Write In, if any ",3 100.00%,"","",""
Total... ,3 100.00%,"","",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"","",""
Chris Otten ,5 55.56%,"","",""
"Write In, if any ",4 44.44%,"","",""
Total... ,9 100.00%,"","",""
SG - CHAIRMAN OF THE COUNCIL ,(Final),"","",""
"Write In, if any ",4 100.00%,"","",""
Total... ,4 100.00%,"","",""
SG - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"","",""
Ann C. Wilcox ,7 87.50%,"","",""
"Write In, if any ",1 12.50%,"","",""
Total... ,8 100.00%,"","",""
SG - UNITED STATES SENATOR ,(Final),"","",""
Joyce Robinson-Paul ,8 100.00%,"","",""
