"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 73 ,"",Precinct 73,"",""
Registration & Turnout ,"","1,847 DEM - WARD FIVE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",770 41.69% Audrey M. Ray 15 ,"",1.97%
Absentee Turnout ,"",12 0.65% Ron L. Magnus 46 ,"",6.04%
Provisional Turnout ,"",19 1.03% Rae Zapata 164 ,"",21.55%
Total... ,"",801 43.37% Joe Harris 9 ,"",1.18%
"","",Vera Winfield 22 ,"",2.89%
Democratic Registration & Turnout ,"","1,711 Frank Wilds 92 ","",12.09%
Election Day Turnout ,"","751 43.89% Harry (Tommy) Thomas, Jr. 241 ","",31.67%
Absentee Turnout ,"",12 0.70% Kathy Henderson 22 ,"",2.89%
Provisional Turnout ,"","19 1.11% Write In, if any 4 ","",0.53%
Total... ,"",782 45.70% Total... 761 ,"",100.00%
Republican Registration & Turnout ,"",104 DEM - UNITED STATES SENATOR ,"",(Final)
Election Day Turnout ,"",10 9.62% Michael D. Brown 485 ,"",73.15%
Absentee Turnout ,"",0 0.00% Philip Pannell 166 ,"",25.04%
Provisional Turnout ,"","0 0.00% Write In, if any 12 ","",1.81%
Total... ,"",10 9.62% Total... 663 ,"",100.00%
DC Statehood Green Party Registration & Turnout ,"",32 DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Election Day Turnout ,"",9 28.13% Mike Panetta 275 ,"",45.61%
Absentee Turnout ,"",0 0.00% John J. Forster 207 ,"",34.33%
Provisional Turnout ,"",0 0.00% James S. Bubar 103 ,"",17.08%
Total... ,"","9 28.13% Write In, if any 18 ","",2.99%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 603 ,"",100.00%
Andy Miscuk ,"",44 5.80% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
Eleanor Holmes Norton ,"","706 93.02% Write In, if any 4 ","",100.00%
"Write In, if any ","",9 1.19%,"",""
"","",Total... 4 ,"",100.00%
Total... ,"",759 100.00%,"",""
"","",REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) David W. Kranich 3 ,"",33.33%
Vincent Orange ,"","48 6.15% Write In, if any 6 ","",66.67%
Adrian Fenty ,"",421 53.91%,"",""
Michael A. Brown ,"",4 Total... 9 0.51%,"",100.00%
Linda Cropp ,"",251 32.14% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","0 0.00% Write In, if any 6 ","",100.00%
Marie Johns ,"",56 7.17% Total... 6 ,"",100.00%
Nestor Djonkam ,"",1 0.13%,"",""
"Write In, if any ","",0 REP - AT-LARGE MEMBER OF THE COUNCIL 0.00%,"",(Final)
"","",Marcus Skelton 7 ,"",87.50%
Total... ,"","781 100.00% Write In, if any 1 ","",12.50%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 8 ,"",100.00%
Vincent C. Gray ,"",404 53.51%,"",""
Kathy Patterson ,"",349 REP - WARD FIVE MEMBER OF THE COUNCIL 46.23%,"",(Final)
"Write In, if any ","","2 0.26% Write In, if any 6 ","",100.00%
Total... ,"",755 100.00% Total... 6 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) REP - UNITED STATES SENATOR ,"",(Final)
Phil Mendelson ,"","423 58.02% Write In, if any 3 ","",100.00%
A. Scott Bolden ,"",302 41.43% Total... 3 ,"",100.00%
"Write In, if any ","",4 0.55% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","729 100.00% Write In, if any 3 ","",100.00%
DEM - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final) Total... 3 ,"",100.00%
Regina James ,"",16 2.10% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Deborah ''Debbie'' Smith ,"","10 1.31% Write In, if any 4 ","",100.00%
Bruce A. Marshall ,"",120 15.77%,"",""
"","",Total... 4 ,"",100.00%
