"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 35 ,"",Precinct 35,"",""
Registration & Turnout ,"","3,152 DEM - WARD ONE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","1031 32.71% Write In, if any 3 ","",0.29%
Absentee Turnout ,"","40 1.27% Total... 1,035 ","",100.00%
Provisional Turnout ,"",36 1.14%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"","1,107 35.12% Michael D. Brown 535 ","",69.12%
Democratic Registration & Turnout ,"","2,803 Philip Pannell 222 ","",28.68%
Election Day Turnout ,"","1003 35.78% Write In, if any 17 ","",2.20%
Absentee Turnout ,"",39 1.39% Total... 774 ,"",100.00%
Provisional Turnout ,"",35 1.25%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","1,077 38.42% Mike Panetta 396 ","",56.73%
Republican Registration & Turnout ,"",248 John J. Forster 138 ,"",19.77%
Election Day Turnout ,"",16 6.45% James S. Bubar 140 ,"",20.06%
Absentee Turnout ,"","0 0.00% Write In, if any 24 ","",3.44%
Provisional Turnout ,"",1 0.40% Total... 698 ,"",100.00%
Total... ,"",17 6.85% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","101 Write In, if any 3 ","",100.00%
Election Day Turnout ,"",12 11.88% Total... 3 ,"",100.00%
Absentee Turnout ,"",1 0.99%,"",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"",(Final)
"","",David W. Kranich 12 ,"",75.00%
Total... ,"","13 12.87% Write In, if any 4 ","",25.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 16 ,"",100.00%
Andy Miscuk ,"",185 17.91%,"",""
Eleanor Holmes Norton ,"",844 REP - CHAIRMAN OF THE COUNCIL 81.70%,"",(Final)
"Write In, if any ","","4 0.39% Write In, if any 2 ","",100.00%
Total... ,"","1,033 100.00% Total... 2 ","",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",8 0.74% Marcus Skelton 9 ,"",90.00%
Adrian Fenty ,"","680 63.31% Write In, if any 1 ","",10.00%
Michael A. Brown ,"",7 0.65% Total... 10 ,"",100.00%
Linda Cropp ,"",244 22.72% REP - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","0 0.00% Write In, if any 4 ","",100.00%
Marie Johns ,"",130 12.10%,"",""
Nestor Djonkam ,"",2 0.19% Total... 4 ,"",100.00%
"Write In, if any ","",3 0.28% REP - UNITED STATES SENATOR ,"",(Final)
Total... ,"","1,074 100.00% Write In, if any 1 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 1 ,"",100.00%
Vincent C. Gray ,"",426 42.56% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Kathy Patterson ,"","574 57.34% Write In, if any 2 ","",100.00%
"Write In, if any ","",1 0.10% Total... 2 ,"",100.00%
Total... ,"","1,001 100.00% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ","",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 5 ","",100.00%
Phil Mendelson ,"",800 82.73% Total... 5 ,"",100.00%
A. Scott Bolden ,"",161 16.65%,"",""
"Write In, if any ","",6 0.62% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Chris Otten 6,"",""
Total... ,"",967 100.00% ,"",46.15%
"","","Write In, if any 7 ","",53.85%
DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Total... 13 ,"",100.00%
Jim Graham ,"",929 89.76%,"",""
Chad Williams ,"",103 9.95%,"",""
