"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 7 ,"",Precinct 7,"",""
Registration & Turnout ,"","1,414 DEM - WARD THREE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",433 30.62% Sam Brooks 49 ,"",11.81%
Absentee Turnout ,"",20 1.41% Erik S. Gaull 72 ,"",17.35%
Provisional Turnout ,"",6 0.42% Eric Goulet 27 ,"",6.51%
Total... ,"",459 32.46% Cathy Wiss 28 ,"",6.75%
"","",Mary M. Cheh 144 ,"",34.70%
Democratic Registration & Turnout ,"",979 Robert Gordon 33 ,"",7.95%
Election Day Turnout ,"","400 40.86% Write In, if any 1 ","",0.24%
Absentee Turnout ,"",18 1.84%,"",""
Provisional Turnout ,"",6 Total... 415 0.61%,"",100.00%
Total... ,"",424 43.31% DEM - UNITED STATES SENATOR ,"",(Final)
"","",Michael D. Brown 197 ,"",70.61%
Republican Registration & Turnout ,"",416 Philip Pannell 77 ,"",27.60%
Election Day Turnout ,"","32 7.69% Write In, if any 5 ","",1.79%
Absentee Turnout ,"",2 0.48%,"",""
Provisional Turnout ,"",0 Total... 279 0.00%,"",100.00%
Total... ,"",34 8.17% DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
"","",Mike Panetta 152 ,"",58.69%
DC Statehood Green Party Registration & Turnout ,"",19 John J. Forster 49 ,"",18.92%
Election Day Turnout ,"",1 5.26% James S. Bubar 51 ,"",19.69%
Absentee Turnout ,"","0 0.00% Write In, if any 7 ","",2.70%
Provisional Turnout ,"",0 0.00%,"",""
"","",Total... 259 ,"",100.00%
Total... ,"",1 5.26%,"",""
"","",REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","(Final) Write In, if any 10 ","",100.00%
Andy Miscuk ,"",55 13.41%,"",""
Eleanor Holmes Norton ,"",351 Total... 10 85.61%,"",100.00%
"Write In, if any ","",4 0.98% REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Total... ,"",410 100.00% David W. Kranich 21 ,"",65.63%
"","","Write In, if any 11 ","",34.38%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final),"",""
Vincent Orange ,"",2 Total... 32 0.47%,"",100.00%
Adrian Fenty ,"",243 57.58% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Michael A. Brown ,"","1 0.24% Write In, if any 8 ","",100.00%
Linda Cropp ,"",100 23.70% Total... 8 ,"",100.00%
Artee (RT) Milligan ,"",0 0.00%,"",""
Marie Johns ,"",74 REP - AT-LARGE MEMBER OF THE COUNCIL 17.54%,"",(Final)
Nestor Djonkam ,"",0 0.00% Marcus Skelton 23 ,"",79.31%
"Write In, if any ","","2 0.47% Write In, if any 6 ","",20.69%
Total... ,"",422 100.00% Total... 29 ,"",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) REP - WARD THREE MEMBER OF THE COUNCIL ,"",(Final)
Vincent C. Gray ,"",109 26.85% Theresa Conroy 24 ,"",82.76%
Kathy Patterson ,"","297 73.15% Write In, if any 5 ","",17.24%
"Write In, if any ","",0 0.00% Total... 29 ,"",100.00%
Total... ,"",406 100.00% REP - UNITED STATES SENATOR ,"",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 3 ","",100.00%
Phil Mendelson ,"",332 83.21% Total... 3 ,"",100.00%
A. Scott Bolden ,"",67 16.79% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
"Write In, if any ","","0 0.00% Write In, if any 5 ","",100.00%
Total... ,"",399 100.00% Total... 5 ,"",100.00%
DEM - WARD THREE MEMBER OF THE COUNCIL ,"",(Final) SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Bill Rice ,"","25 6.02% Write In, if any 1 ","",100.00%
Paul Strauss ,"",35 8.43%,"",""
Jonathan Rees ,"",1 0.24% Total... 1 ,"",100.00%
