"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 51 ,Precinct 52,"",""
SG - UNITED STATES SENATOR ,(Final) Registration & Turnout ,"","1,498"
"Write In, if any ",0 0.00% Election Day Turnout ,664 ,44.33%
Total... ,6 100.00% Absentee Turnout ,32 ,2.14%
"",Provisional Turnout ,7 ,0.47%
SG - UNITED STATES REPRESENTATIVE ,(Final),"",""
Keith R. Ware ,5 Total... 100.00%,703 ,46.93%
"Write In, if any ",0 0.00% Democratic Registration & Turnout ,"","1,202"
Total... ,5 100.00% Election Day Turnout ,640 ,53.24%
"",Absentee Turnout ,31 ,2.58%
"",Provisional Turnout ,6 ,0.50%
"",Total... ,677 ,56.32%
"",Republican Registration & Turnout ,"",288
"",Election Day Turnout ,23 ,7.99%
"",Absentee Turnout ,1 ,0.35%
"",Provisional Turnout ,1 ,0.35%
"",Total... ,25 ,8.68%
"",DC Statehood Green Party Registration & Turnout ,"",8
"",Election Day Turnout ,1 ,12.50%
"",Absentee Turnout ,0 ,0.00%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,1 ,12.50%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"",Andy Miscuk ,53 ,8.02%
"",Eleanor Holmes Norton ,604 ,91.38%
"","Write In, if any ",4 ,0.61%
"",Total... ,661 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,3 ,0.44%
"",Adrian Fenty ,467 ,69.08%
"",Michael A. Brown ,2 ,0.30%
"",Linda Cropp ,138 ,20.41%
"",Artee (RT) Milligan ,1 ,0.15%
"",Marie Johns ,65 ,9.62%
"",Nestor Djonkam ,0 ,0.00%
"","Write In, if any ",0 ,0.00%
"",Total... ,676 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,275 ,41.42%
"",Kathy Patterson ,387 ,58.28%
"","Write In, if any ",2 ,0.30%
"",Total... ,664 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,475 ,73.76%
"",A. Scott Bolden ,167 ,25.93%
"","Write In, if any ",2 ,0.31%
"",Total... ,644 ,100.00%
"",DEM - UNITED STATES SENATOR ,"",(Final)
"",Michael D. Brown ,326 ,67.49%
"",Philip Pannell ,143 ,29.61%
