"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 37 ,"",Precinct 37,"",""
Registration & Turnout ,"","2,560 DEM - WARD ONE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","601 23.48% Write In, if any 10 ","",1.61%
Absentee Turnout ,"",47 1.84% Total... 623 ,"",100.00%
Provisional Turnout ,"",19 0.74%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"",667 26.05% Michael D. Brown 430 ,"",76.51%
Democratic Registration & Turnout ,"","2,357 Philip Pannell 126 ","",22.42%
Election Day Turnout ,"","586 24.86% Write In, if any 6 ","",1.07%
Absentee Turnout ,"",46 1.95% Total... 562 ,"",100.00%
Provisional Turnout ,"",18 0.76%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"",650 27.58% Mike Panetta 234 ,"",44.23%
Republican Registration & Turnout ,"",148 John J. Forster 180 ,"",34.03%
Election Day Turnout ,"",5 3.38% James S. Bubar 107 ,"",20.23%
Absentee Turnout ,"","1 0.68% Write In, if any 8 ","",1.51%
Provisional Turnout ,"",1 0.68% Total... 529 ,"",100.00%
Total... ,"",7 4.73% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","55 Write In, if any 1 ","",100.00%
Election Day Turnout ,"",10 18.18% Total... 1 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"",(Final)
"","",David W. Kranich 3 ,"",60.00%
Total... ,"","10 18.18% Write In, if any 2 ","",40.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 5 ,"",100.00%
Andy Miscuk ,"",41 6.48%,"",""
Eleanor Holmes Norton ,"",588 REP - CHAIRMAN OF THE COUNCIL 92.89%,"",(Final)
"Write In, if any ","","4 0.63% Write In, if any 1 ","",100.00%
Total... ,"",633 100.00% Total... 1 ,"",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",35 5.41% Marcus Skelton 5 ,"",100.00%
Adrian Fenty ,"","353 54.56% Write In, if any 0 ","",0.00%
Michael A. Brown ,"",6 0.93% Total... 5 ,"",100.00%
Linda Cropp ,"",214 33.08% REP - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","1 0.15% Write In, if any 2 ","",100.00%
Marie Johns ,"",37 5.72%,"",""
Nestor Djonkam ,"",0 0.00% Total... 2 ,"",100.00%
"Write In, if any ","",1 0.15% REP - UNITED STATES SENATOR ,"",(Final)
Total... ,"","647 100.00% Write In, if any 1 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 1 ,"",100.00%
Vincent C. Gray ,"",432 70.13% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Kathy Patterson ,"","184 29.87% Write In, if any 1 ","",100.00%
"Write In, if any ","",0 0.00% Total... 1 ,"",100.00%
Total... ,"",616 100.00% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 4 ","",100.00%
Phil Mendelson ,"",364 61.18% Total... 4 ,"",100.00%
A. Scott Bolden ,"",229 38.49%,"",""
"Write In, if any ","",2 0.34% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Chris Otten 5,"",""
Total... ,"",595 100.00% ,"",55.56%
"","","Write In, if any 4 ","",44.44%
DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Total... 9 ,"",100.00%
Jim Graham ,"",448 71.91%,"",""
Chad Williams ,"",165 26.48%,"",""
