"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 25 ,"",Precinct 25,"",""
Registration & Turnout ,"","3,824 DEM - WARD ONE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","1320 34.52% Write In, if any 3 ","",0.23%
Absentee Turnout ,"","66 1.73% Total... 1,309 ","",100.00%
Provisional Turnout ,"",35 0.92%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"","1,421 37.16% Michael D. Brown 518 ","",61.23%
Democratic Registration & Turnout ,"","3,238 Philip Pannell 303 ","",35.82%
Election Day Turnout ,"","1271 39.25% Write In, if any 25 ","",2.96%
Absentee Turnout ,"",66 2.04% Total... 846 ,"",100.00%
Provisional Turnout ,"",34 1.05%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","1,371 42.34% Mike Panetta 442 ","",60.22%
Republican Registration & Turnout ,"",487 John J. Forster 120 ,"",16.35%
Election Day Turnout ,"",34 6.98% James S. Bubar 137 ,"",18.66%
Absentee Turnout ,"","0 0.00% Write In, if any 35 ","",4.77%
Provisional Turnout ,"",1 0.21% Total... 734 ,"",100.00%
Total... ,"",35 7.19% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","99 Write In, if any 14 ","",100.00%
Election Day Turnout ,"",15 15.15% Total... 14 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"",(Final)
"","",David W. Kranich 30 ,"",88.24%
Total... ,"","15 15.15% Write In, if any 4 ","",11.76%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 34 ,"",100.00%
Andy Miscuk ,"",237 18.12%,"",""
Eleanor Holmes Norton ,"",1062 REP - CHAIRMAN OF THE COUNCIL 81.19%,"",(Final)
"Write In, if any ","","9 0.69% Write In, if any 13 ","",100.00%
Total... ,"","1,308 100.00% Total... 13 ","",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",11 0.81% Marcus Skelton 31 ,"",100.00%
Adrian Fenty ,"","872 63.93% Write In, if any 0 ","",0.00%
Michael A. Brown ,"",6 0.44% Total... 31 ,"",100.00%
Linda Cropp ,"",331 24.27% REP - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","1 0.07% Write In, if any 8 ","",100.00%
Marie Johns ,"",139 10.19%,"",""
Nestor Djonkam ,"",1 0.07% Total... 8 ,"",100.00%
"Write In, if any ","",3 0.22% REP - UNITED STATES SENATOR ,"",(Final)
Total... ,"","1,364 100.00% Write In, if any 8 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 8 ,"",100.00%
Vincent C. Gray ,"",484 37.78% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Kathy Patterson ,"","794 61.98% Write In, if any 8 ","",100.00%
"Write In, if any ","",3 0.23% Total... 8 ,"",100.00%
Total... ,"","1,281 100.00% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ","",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 4 ","",100.00%
Phil Mendelson ,"",1075 86.62% Total... 4 ,"",100.00%
A. Scott Bolden ,"",162 13.05%,"",""
"Write In, if any ","",4 0.32% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Chris Otten 10,"",""
Total... ,"","1,241 100.00% ","",71.43%
"","","Write In, if any 4 ","",28.57%
DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Total... 14 ,"",100.00%
Jim Graham ,"",1225 93.58%,"",""
Chad Williams ,"",81 6.19%,"",""
