"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 87 ,"",Precinct 88,"",""
SG - CHAIRMAN OF THE COUNCIL ,"",(Final) Registration & Turnout ,"","2,106"
"Write In, if any ","",1 100.00% Election Day Turnout ,873 ,41.45%
Total... ,"",1 100.00% Absentee Turnout ,31 ,1.47%
"","",Provisional Turnout ,15 ,0.71%
SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final),"",""
Ann C. Wilcox ,"",3 Total... 75.00%,919 ,43.64%
"Write In, if any ","",1 25.00% Democratic Registration & Turnout ,"","1,789"
Total... ,"",4 100.00% Election Day Turnout ,846 ,47.29%
"","",Absentee Turnout ,31 ,1.73%
SG - WARD SIX MEMBER OF THE COUNCIL ,"",(Final) Provisional Turnout ,14 ,0.78%
"Write In, if any ","",2 100.00%,"",""
"","",Total... ,891 ,49.80%
Total... ,"",2 100.00%,"",""
"","",Republican Registration & Turnout ,"",282
SG - UNITED STATES SENATOR ,"",(Final) Election Day Turnout ,22 ,7.80%
Joyce Robinson-Paul ,"",3 75.00% Absentee Turnout ,0 ,0.00%
"Write In, if any ","",1 25.00% Provisional Turnout ,1 ,0.35%
Total... ,"",4 100.00% Total... ,23 ,8.16%
SG - UNITED STATES REPRESENTATIVE ,"",(Final) DC Statehood Green Party Registration & Turnout ,"",35
Keith R. Ware ,"",3 75.00% Election Day Turnout ,5 ,14.29%
"Write In, if any ","",1 25.00% Absentee Turnout ,0 ,0.00%
Total... ,"",4 100.00% Provisional Turnout ,0 ,0.00%
"","",Total... ,5 ,14.29%
"","",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"","",Andy Miscuk ,72 ,8.28%
"","",Eleanor Holmes Norton ,796 ,91.49%
"","","Write In, if any ",2 ,0.23%
"","",Total... ,870 ,100.00%
"","",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Vincent Orange ,5 ,0.56%
"","",Adrian Fenty ,517 ,58.09%
"","",Michael A. Brown ,3 ,0.34%
"","",Linda Cropp ,265 ,29.78%
"","",Artee (RT) Milligan ,0 ,0.00%
"","",Marie Johns ,96 ,10.79%
"","",Nestor Djonkam ,1 ,0.11%
"","","Write In, if any ",3 ,0.34%
"","",Total... ,890 ,100.00%
"","",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"","",Vincent C. Gray ,290 ,33.60%
"","",Kathy Patterson ,569 ,65.93%
"","","Write In, if any ",4 ,0.46%
"","",Total... ,863 ,100.00%
"","",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"","",Phil Mendelson ,657 ,77.39%
"","",A. Scott Bolden ,189 ,22.26%
"","","Write In, if any ",3 ,0.35%
"","",Total... ,849 ,100.00%
"","",DEM - WARD SIX MEMBER OF THE COUNCIL ,"",(Final)
"","",Leo Pinson ,57 ,6.63%
"","","Curtis L. Etherly, Jr. ",72 ,8.37%
"","",Tommy Wells ,708 ,82.33%
