"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Subdivision Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
City of Washington Ward 1 ,City of Washington Ward 2,"","",""
SG - WARD ONE MEMBER OF THE COUNCIL (16) ,16/16 100.00% Registration & Turnout (0) ,"","32,603",""
"Write In, if any ",50 100.00% Election Day Turnout ,"","8,447 ",25.91%
Total... ,50 100.00% Absentee Turnout ,"",377 ,1.16%
SG - UNITED STATES SENATOR (16) ,16/16 100.00% Provisional Turnout ,"",234 ,0.72%
Joyce Robinson-Paul ,Total... 11495.00%,"","9,058 ",27.78%
"Write In, if any ",6 5.00% Democratic Registration & Turnout (0) ,"","26,438",""
Total... ,120 100.00% Election Day Turnout ,"","8,092 ",30.61%
SG - UNITED STATES REPRESENTATIVE (16) ,16/16 100.00% Absentee Turnout ,"",361 ,1.37%
Keith R. Ware ,Provisional Turnout11396.58% ,"",224 ,0.85%
"Write In, if any ",Total... 43.42%,"","8,677 ",32.82%
Total... ,117 100.00% Republican Registration & Turnout (0) ,"","5,668",""
"",Election Day Turnout ,"",317 ,5.59%
"",Absentee Turnout ,"",14 ,0.25%
"",Provisional Turnout ,"",9 ,0.16%
"",Total... ,"",340 ,6.00%
"",DC Statehood Green Party Registration & Turno(u0t) ,"",497,""
"",Election Day Turnout ,"",38 ,7.65%
"",Absentee Turnout ,"",2 ,0.40%
"",Provisional Turnout ,"",1 ,0.20%
"",Total... ,"",41 ,8.25%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REP(1R4E)S ,"",14/14 ,100.00%
"",Andy Miscuk ,"",818 ,9.87%
"",Eleanor Holmes Norton ,"","7,403 ",89.31%
"","Write In, if any ","",68 ,0.82%
"",Total... ,"","8,289 ",100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBI(A14) ,"",14/14 ,100.00%
"",Vincent Orange ,"",77 ,0.89%
"",Adrian Fenty ,"","4,651 ",53.91%
"",Michael A. Brown ,"",42 ,0.49%
"",Linda Cropp ,"","2,829 ",32.79%
"",Artee (RT) Milligan ,"",6 ,0.07%
"",Marie Johns ,"","1,010 ",11.71%
"",Nestor Djonkam ,"",0 ,0.00%
"","Write In, if any ","",13 ,0.15%
"",Total... ,"","8,628 ",100.00%
"",DEM - CHAIRMAN OF THE COUNCIL (14) ,"",14/14 ,100.00%
"",Vincent C. Gray ,"","3,110 ",38.17%
"",Kathy Patterson ,"","5,017 ",61.57%
"","Write In, if any ","",21 ,0.26%
"",Total... ,"","8,148 ",100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL (14) ,"",14/14 ,100.00%
"",Phil Mendelson ,"","6,417 ",80.86%
"",A. Scott Bolden ,"","1,493 ",18.81%
"","Write In, if any ","",26 ,0.33%
"",Total... ,"","7,936 ",100.00%
"",DEM - UNITED STATES SENATOR (14) ,"",14/14 ,100.00%
"",Michael D. Brown ,"","3,935 ",64.30%
"",Philip Pannell ,"","2,053 ",33.55%
"","Write In, if any ","",132 ,2.16%
"",Total... ,"","6,120 ",100.00%
