"",Primary Election,"",""
"","September 12, 2006","",""
"",Summary Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
SG - CHAIRMAN OF THE COUNCIL ,(142) ,142/142 ,100.00%
Under Votes: 327,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",210 ,100.00%
"",Total ... ,210 ,100.00%
SG - AT-LARGE MEMBER OF THE COUNCIL ,(142) ,142/142 ,100.00%
Under Votes: 85,"","",""
Over Votes: 0,"","",""
Ann C. Wilcox ,"",375 ,82.78%
"Write In, if any ","",78 ,17.22%
"",Total ... ,453 ,100.00%
SG - WARD ONE MEMBER OF THE COUNCIL ,(16) ,16/16 ,100.00%
Under Votes: 92,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",50 ,100.00%
"",Total ... ,50 ,100.00%
SG - WARD THREE MEMBER OF THE COUNCIL ,(17) ,17/17 ,100.00%
Under Votes: 15,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",28 ,100.00%
"",Total ... ,28 ,100.00%
SG - WARD FIVE MEMBER OF THE COUNCIL ,(18) ,18/18 ,100.00%
Under Votes: 2,"","",""
Over Votes: 0,"","",""
Carolyn C. Steptoe ,"",40 ,44.94%
"Philip Blair, Jr. ","",33 ,37.08%
"Write In, if any ","",16 ,17.98%
"",Total ... ,89 ,100.00%
SG - WARD SIX MEMBER OF THE COUNCIL ,(17) ,17/17 ,100.00%
Under Votes: 39,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",38 ,100.00%
"",Total ... ,38 ,100.00%
SG - UNITED STATES SENATOR ,(142) ,142/142 ,100.00%
Under Votes: 103,"","",""
Over Votes: 0,"","",""
Joyce Robinson-Paul ,"",402 ,92.41%
"Write In, if any ","",33 ,7.59%
"",Total ... ,435 ,100.00%
SG - UNITED STATES REPRESENTATIVE ,(142) ,142/142 ,100.00%
Under Votes: 106,"","",""
Over Votes: 0,"","",""
Keith R. Ware ,"",398 ,92.13%
