"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 53 ,Precinct 54,"",""
SG - UNITED STATES SENATOR ,(Final) Registration & Turnout ,"","2,127"
"Write In, if any ",1 25.00% Election Day Turnout ,869 ,40.86%
Total... ,4 100.00% Absentee Turnout ,19 ,0.89%
"",Provisional Turnout ,8 ,0.38%
SG - UNITED STATES REPRESENTATIVE ,(Final),"",""
Keith R. Ware ,3 Total... 75.00%,896 ,42.13%
"Write In, if any ",1 25.00% Democratic Registration & Turnout ,"","1,954"
Total... ,4 100.00% Election Day Turnout ,856 ,43.81%
"",Absentee Turnout ,18 ,0.92%
"",Provisional Turnout ,8 ,0.41%
"",Total... ,882 ,45.14%
"",Republican Registration & Turnout ,"",135
"",Election Day Turnout ,9 ,6.67%
"",Absentee Turnout ,1 ,0.74%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,10 ,7.41%
"",DC Statehood Green Party Registration & Turnout ,"",38
"",Election Day Turnout ,4 ,10.53%
"",Absentee Turnout ,0 ,0.00%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,4 ,10.53%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"",Andy Miscuk ,41 ,4.80%
"",Eleanor Holmes Norton ,806 ,94.38%
"","Write In, if any ",7 ,0.82%
"",Total... ,854 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,14 ,1.60%
"",Adrian Fenty ,602 ,68.72%
"",Michael A. Brown ,3 ,0.34%
"",Linda Cropp ,208 ,23.74%
"",Artee (RT) Milligan ,1 ,0.11%
"",Marie Johns ,44 ,5.02%
"",Nestor Djonkam ,3 ,0.34%
"","Write In, if any ",1 ,0.11%
"",Total... ,876 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,537 ,63.93%
"",Kathy Patterson ,300 ,35.71%
"","Write In, if any ",3 ,0.36%
"",Total... ,840 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,455 ,55.22%
"",A. Scott Bolden ,362 ,43.93%
"","Write In, if any ",7 ,0.85%
"",Total... ,824 ,100.00%
"",DEM - UNITED STATES SENATOR ,"",(Final)
"",Michael D. Brown ,550 ,75.03%
"",Philip Pannell ,173 ,23.60%
