"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 23 ,"",Precinct 24,"",""
SG - CHAIRMAN OF THE COUNCIL ,"",(Final) Registration & Turnout ,"","2,164"
"Write In, if any ","",5 100.00% Election Day Turnout ,700 ,32.35%
Total... ,"",5 100.00% Absentee Turnout ,15 ,0.69%
"","",Provisional Turnout ,29 ,1.34%
SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final),"",""
Ann C. Wilcox ,"",8 Total... 100.00%,744 ,34.38%
"Write In, if any ","",0 0.00% Democratic Registration & Turnout ,"","1,899"
Total... ,"",8 100.00% Election Day Turnout ,684 ,36.02%
"","",Absentee Turnout ,15 ,0.79%
SG - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Provisional Turnout ,27 ,1.42%
"Write In, if any ","",5 100.00%,"",""
"","",Total... ,726 ,38.23%
Total... ,"",5 100.00%,"",""
"","",Republican Registration & Turnout ,"",224
SG - UNITED STATES SENATOR ,"",(Final) Election Day Turnout ,12 ,5.36%
Joyce Robinson-Paul ,"",6 85.71% Absentee Turnout ,0 ,0.00%
"Write In, if any ","",1 14.29% Provisional Turnout ,1 ,0.45%
Total... ,"",7 100.00% Total... ,13 ,5.80%
SG - UNITED STATES REPRESENTATIVE ,"",(Final) DC Statehood Green Party Registration & Turnout ,"",41
Keith R. Ware ,"",5 83.33% Election Day Turnout ,4 ,9.76%
"Write In, if any ","",1 16.67% Absentee Turnout ,0 ,0.00%
Total... ,"",6 100.00% Provisional Turnout ,1 ,2.44%
"","",Total... ,5 ,12.20%
"","",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"","",Andy Miscuk ,112 ,15.98%
"","",Eleanor Holmes Norton ,586 ,83.59%
"","","Write In, if any ",3 ,0.43%
"","",Total... ,701 ,100.00%
"","",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Vincent Orange ,1 ,0.14%
"","",Adrian Fenty ,465 ,64.05%
"","",Michael A. Brown ,4 ,0.55%
"","",Linda Cropp ,166 ,22.87%
"","",Artee (RT) Milligan ,1 ,0.14%
"","",Marie Johns ,89 ,12.26%
"","",Nestor Djonkam ,0 ,0.00%
"","","Write In, if any ",0 ,0.00%
"","",Total... ,726 ,100.00%
"","",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"","",Vincent C. Gray ,279 ,41.52%
"","",Kathy Patterson ,392 ,58.33%
"","","Write In, if any ",1 ,0.15%
"","",Total... ,672 ,100.00%
"","",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"","",Phil Mendelson ,557 ,85.96%
"","",A. Scott Bolden ,91 ,14.04%
"","","Write In, if any ",0 ,0.00%
"","",Total... ,648 ,100.00%
"","",DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
"","",Jim Graham ,615 ,89.39%
"","",Chad Williams ,73 ,10.61%
