"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 13 ,"",Precinct 13,"","",""
Registration & Turnout ,"","1,442 DEM - UNITED STATES SENATOR ","","",(Final)
Election Day Turnout ,"","486 33.70% Write In, if any ",8 ,"",2.72%
Absentee Turnout ,"",15 1.04% Total... ,294 ,"",100.00%
Provisional Turnout ,"",8 0.55%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"","",(Final)
Total... ,"",509 35.30% Mike Panetta ,144 ,"",58.06%
Democratic Registration & Turnout ,"","1,135 John J. Forster ",43 ,"",17.34%
Election Day Turnout ,"",468 41.23% James S. Bubar ,51 ,"",20.56%
Absentee Turnout ,"","15 1.32% Write In, if any ",10 ,"",4.03%
Provisional Turnout ,"",8 0.70% Total... ,248 ,"",100.00%
Total... ,"",491 43.26% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","",(Final)
Republican Registration & Turnout ,"","292 Write In, if any ",4 ,"",100.00%
Election Day Turnout ,"",16 5.48% Total... ,4 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"","",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"","",(Final)
"","",David W. Kranich ,12 ,"",80.00%
Total... ,"","16 5.48% Write In, if any ",3 ,"",20.00%
DC Statehood Green Party Registration & Turnout ,"",15 Total... ,15 ,"",100.00%
Election Day Turnout ,"",2 13.33%,"","",""
Absentee Turnout ,"",0 REP - CHAIRMAN OF THE COUNCIL 0.00%,"","",(Final)
Provisional Turnout ,"","0 0.00% Write In, if any ",1 ,"",100.00%
Total... ,"",2 13.33% Total... ,1 ,"",100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
Andy Miscuk ,"",40 8.70% Marcus Skelton ,11 ,"",100.00%
Eleanor Holmes Norton ,"","417 90.65% Write In, if any ",0 ,"",0.00%
"Write In, if any ","",3 0.65% Total... ,11 ,"",100.00%
Total... ,"",460 100.00% REP - UNITED STATES SENATOR ,"","",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","(Final) Write In, if any ",1 ,"",100.00%
Vincent Orange ,"",0 0.00% Total... ,1 ,"",100.00%
Adrian Fenty ,"",264 54.10% REP - UNITED STATES REPRESENTATIVE ,"","",(Final)
Michael A. Brown ,"","1 0.20% Write In, if any ",1 ,"",100.00%
Linda Cropp ,"",162 33.20%,"","",""
Artee (RT) Milligan ,"",0 0.00% Total... ,1 ,"",100.00%
Marie Johns ,"",60 12.30% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"","",(Final)
Nestor Djonkam ,"","0 0.00% Write In, if any ",0 ,"",0.00%
"Write In, if any ","",1 0.20% Total... ,0 ,"",0.00%
Total... ,"",488 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"","",(Final)
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Chris Otten ,1 ,"",50.00%
Vincent C. Gray ,"","161 35.23% Write In, if any ",1 ,"",50.00%
Kathy Patterson ,"",296 64.77% Total... ,2 ,"",100.00%
"Write In, if any ","",0 0.00%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL ,"","",(Final)
Total... ,"",457 100.00%,"","",""
"","","Write In, if any ",1 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) Total... ,1 ,"",100.00%
Phil Mendelson ,"",391 88.06%,"","",""
A. Scott Bolden ,"",50 11.26% SG - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
"Write In, if any ","",3 0.68% Ann C. Wilcox ,1 ,"",50.00%
"","","Write In, if any ",1,"",""
Total... ,"",444 100.00% ,"","",50.00%
"","",Total... ,2 ,"",100.00%
DEM - UNITED STATES SENATOR ,"",(Final),"","",""
Michael D. Brown ,"",210 71.43% SG - UNITED STATES SENATOR ,"","",(Final)
Philip Pannell ,"",76 25.85% Joyce Robinson-Paul ,1 ,"",50.00%
