"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 57 ,Precinct 58,"",""
SG - UNITED STATES SENATOR ,(Final) Registration & Turnout ,"","2,220"
"Write In, if any ",0 0.00% Election Day Turnout ,812 ,36.58%
Total... ,2 100.00% Absentee Turnout ,20 ,0.90%
"",Provisional Turnout ,28 ,1.26%
SG - UNITED STATES REPRESENTATIVE ,(Final),"",""
Keith R. Ware ,2 Total... 100.00%,860 ,38.74%
"Write In, if any ",0 0.00% Democratic Registration & Turnout ,"","2,120"
Total... ,2 100.00% Election Day Turnout ,801 ,37.78%
"",Absentee Turnout ,20 ,0.94%
"",Provisional Turnout ,28 ,1.32%
"",Total... ,849 ,40.05%
"",Republican Registration & Turnout ,"",66
"",Election Day Turnout ,9 ,13.64%
"",Absentee Turnout ,0 ,0.00%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,9 ,13.64%
"",DC Statehood Green Party Registration & Turnout ,"",34
"",Election Day Turnout ,2 ,5.88%
"",Absentee Turnout ,0 ,0.00%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,2 ,5.88%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"",Andy Miscuk ,23 ,2.78%
"",Eleanor Holmes Norton ,798 ,96.61%
"","Write In, if any ",5 ,0.61%
"",Total... ,826 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,12 ,1.42%
"",Adrian Fenty ,617 ,72.85%
"",Michael A. Brown ,2 ,0.24%
"",Linda Cropp ,188 ,22.20%
"",Artee (RT) Milligan ,1 ,0.12%
"",Marie Johns ,25 ,2.95%
"",Nestor Djonkam ,0 ,0.00%
"","Write In, if any ",2 ,0.24%
"",Total... ,847 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,540 ,65.45%
"",Kathy Patterson ,284 ,34.42%
"","Write In, if any ",1 ,0.12%
"",Total... ,825 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,464 ,57.28%
"",A. Scott Bolden ,344 ,42.47%
"","Write In, if any ",2 ,0.25%
"",Total... ,810 ,100.00%
"",DEM - UNITED STATES SENATOR ,"",(Final)
"",Michael D. Brown ,572 ,75.16%
"",Philip Pannell ,181 ,23.78%
