"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 131 ,"",Precinct 132,"",""
SG - CHAIRMAN OF THE COUNCIL ,"",(Final) Registration & Turnout ,"","1,728"
"Write In, if any ","",0 0.00% Election Day Turnout ,479 ,27.72%
Total... ,"",0 0.00% Absentee Turnout ,6 ,0.35%
"","",Provisional Turnout ,33 ,1.91%
SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final),"",""
Ann C. Wilcox ,"",0 Total... 0.00%,518 ,29.98%
"Write In, if any ","",0 0.00% Democratic Registration & Turnout ,"","1,631"
Total... ,"",0 0.00% Election Day Turnout ,440 ,26.98%
"","",Absentee Turnout ,6 ,0.37%
SG - WARD SIX MEMBER OF THE COUNCIL ,"",(Final) Provisional Turnout ,33 ,2.02%
"Write In, if any ","",0 0.00%,"",""
"","",Total... ,479 ,29.37%
Total... ,"",0 0.00%,"",""
"","",Republican Registration & Turnout ,"",80
SG - UNITED STATES SENATOR ,"",(Final) Election Day Turnout ,1 ,1.25%
Joyce Robinson-Paul ,"",0 0.00% Absentee Turnout ,0 ,0.00%
"Write In, if any ","",0 0.00% Provisional Turnout ,0 ,0.00%
Total... ,"",0 0.00% Total... ,1 ,1.25%
SG - UNITED STATES REPRESENTATIVE ,"",(Final) DC Statehood Green Party Registration & Turnout ,"",17
Keith R. Ware ,"",0 0.00% Election Day Turnout ,0 ,0.00%
"Write In, if any ","",0 0.00% Absentee Turnout ,0 ,0.00%
Total... ,"",0 0.00% Provisional Turnout ,0 ,0.00%
"","",Total... ,0 ,0.00%
"","",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"","",Andy Miscuk ,15 ,2.99%
"","",Eleanor Holmes Norton ,485 ,96.81%
"","","Write In, if any ",1 ,0.20%
"","",Total... ,501 ,100.00%
"","",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Vincent Orange ,20 ,3.91%
"","",Adrian Fenty ,305 ,59.57%
"","",Michael A. Brown ,2 ,0.39%
"","",Linda Cropp ,166 ,32.42%
"","",Artee (RT) Milligan ,0 ,0.00%
"","",Marie Johns ,16 ,3.13%
"","",Nestor Djonkam ,1 ,0.20%
"","","Write In, if any ",2 ,0.39%
"","",Total... ,512 ,100.00%
"","",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"","",Vincent C. Gray ,425 ,84.49%
"","",Kathy Patterson ,77 ,15.31%
"","","Write In, if any ",1 ,0.20%
"","",Total... ,503 ,100.00%
"","",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"","",Phil Mendelson ,249 ,51.88%
"","",A. Scott Bolden ,227 ,47.29%
"","","Write In, if any ",4 ,0.83%
"","",Total... ,480 ,100.00%
"","",DEM - UNITED STATES SENATOR ,"",(Final)
"","",Michael D. Brown ,406 ,84.94%
"","",Philip Pannell ,70 ,14.64%
