"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 113 ,Precinct 114,"",""
SG - UNITED STATES SENATOR ,(Final) Registration & Turnout ,"","2,690"
"Write In, if any ",0 0.00% Election Day Turnout ,666 ,24.76%
Total... ,0 0.00% Absentee Turnout ,13 ,0.48%
"",Provisional Turnout ,33 ,1.23%
SG - UNITED STATES REPRESENTATIVE ,(Final),"",""
Keith R. Ware ,0 Total... 0.00%,712 ,26.47%
"Write In, if any ",0 0.00% Democratic Registration & Turnout ,"","2,483"
Total... ,0 0.00% Election Day Turnout ,651 ,26.22%
"",Absentee Turnout ,12 ,0.48%
"",Provisional Turnout ,33 ,1.33%
"",Total... ,696 ,28.03%
"",Republican Registration & Turnout ,"",158
"",Election Day Turnout ,14 ,8.86%
"",Absentee Turnout ,1 ,0.63%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,15 ,9.49%
"",DC Statehood Green Party Registration & Turnout ,"",49
"",Election Day Turnout ,1 ,2.04%
"",Absentee Turnout ,0 ,0.00%
"",Provisional Turnout ,0 ,0.00%
"",Total... ,1 ,2.04%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
"",Andy Miscuk ,25 ,3.70%
"",Eleanor Holmes Norton ,646 ,95.56%
"","Write In, if any ",5 ,0.74%
"",Total... ,676 ,100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"",Vincent Orange ,25 ,3.63%
"",Adrian Fenty ,384 ,55.81%
"",Michael A. Brown ,14 ,2.03%
"",Linda Cropp ,234 ,34.01%
"",Artee (RT) Milligan ,0 ,0.00%
"",Marie Johns ,29 ,4.22%
"",Nestor Djonkam ,0 ,0.00%
"","Write In, if any ",2 ,0.29%
"",Total... ,688 ,100.00%
"",DEM - CHAIRMAN OF THE COUNCIL ,"",(Final)
"",Vincent C. Gray ,555 ,82.84%
"",Kathy Patterson ,113 ,16.87%
"","Write In, if any ",2 ,0.30%
"",Total... ,670 ,100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"",Phil Mendelson ,335 ,52.59%
"",A. Scott Bolden ,295 ,46.31%
"","Write In, if any ",7 ,1.10%
"",Total... ,637 ,100.00%
"",DEM - UNITED STATES SENATOR ,"",(Final)
"",Michael D. Brown ,459 ,73.32%
"",Philip Pannell ,159 ,25.40%
