"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 81 ,"",Precinct 81,"",""
Registration & Turnout ,"","4,361 DEM - WARD SIX MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","1281 29.37% Write In, if any 18 ","",1.45%
Absentee Turnout ,"","33 0.76% Total... 1,238 ","",100.00%
Provisional Turnout ,"",50 1.15%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"","1,364 31.28% Michael D. Brown 868 ","",76.81%
Democratic Registration & Turnout ,"","3,992 Philip Pannell 251 ","",22.21%
Election Day Turnout ,"","1255 31.44% Write In, if any 11 ","",0.97%
Absentee Turnout ,"","33 0.83% Total... 1,130 ","",100.00%
Provisional Turnout ,"",46 1.15%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","1,334 33.42% Mike Panetta 492 ","",46.90%
Republican Registration & Turnout ,"",303 John J. Forster 354 ,"",33.75%
Election Day Turnout ,"",20 6.60% James S. Bubar 186 ,"",17.73%
Absentee Turnout ,"","0 0.00% Write In, if any 17 ","",1.62%
Provisional Turnout ,"","3 0.99% Total... 1,049 ","",100.00%
Total... ,"",23 7.59% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","66 Write In, if any 8 ","",100.00%
Election Day Turnout ,"",6 9.09% Total... 8 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"",""
Provisional Turnout ,"",1 REP - MAYOR OF THE DISTRICT OF COLUMBIA 1.52%,"",(Final)
"","",David W. Kranich 14 ,"",60.87%
Total... ,"","7 10.61% Write In, if any 9 ","",39.13%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 23 ,"",100.00%
Andy Miscuk ,"",78 6.08%,"",""
Eleanor Holmes Norton ,"",1198 REP - CHAIRMAN OF THE COUNCIL 93.37%,"",(Final)
"Write In, if any ","","7 0.55% Write In, if any 7 ","",100.00%
Total... ,"","1,283 100.00% Total... 7 ","",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",32 2.41% Marcus Skelton 13 ,"",72.22%
Adrian Fenty ,"","722 54.29% Write In, if any 5 ","",27.78%
Michael A. Brown ,"",12 0.90% Total... 18 ,"",100.00%
Linda Cropp ,"",439 33.01% REP - WARD SIX MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"",1 0.08% Tony Williams 16 ,"",72.73%
Marie Johns ,"","121 9.10% Write In, if any 6 ","",27.27%
Nestor Djonkam ,"",1 0.08%,"",""
"Write In, if any ","",2 0.15% Total... 22 ,"",100.00%
Total... ,"","1,330 100.00% REP - UNITED STATES SENATOR ","",(Final)
"","","Write In, if any 3 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final),"",""
Vincent C. Gray ,"",828 64.84% Total... 3 ,"",100.00%
Kathy Patterson ,"",444 34.77% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
"Write In, if any ","","5 0.39% Write In, if any 5 ","",100.00%
Total... ,"","1,277 100.00% Total... 5 ","",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Phil Mendelson ,"","659 54.87% Write In, if any 3 ","",100.00%
A. Scott Bolden ,"",536 44.63% Total... 3 ,"",100.00%
"Write In, if any ","",6 0.50%,"",""
"","",SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Total... ,"","1,201 100.00%","",""
"","",Chris Otten 4 ,"",66.67%
DEM - WARD SIX MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 2 ","",33.33%
Leo Pinson ,"",289 23.34% Total... 6 ,"",100.00%
"Curtis L. Etherly, Jr. ","",251 20.27%,"",""
Tommy Wells ,"",680 54.93%,"",""
