"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 101 ,"",Precinct 101,"","",""
Registration & Turnout ,"","1,529 DEM - UNITED STATES SENATOR ","","",(Final)
Election Day Turnout ,"","595 38.91% Write In, if any ",4 ,"",0.70%
Absentee Turnout ,"",13 0.85% Total... ,571 ,"",100.00%
Provisional Turnout ,"",24 1.57%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"","",(Final)
Total... ,"",632 41.33% Mike Panetta ,223 ,"",41.07%
Democratic Registration & Turnout ,"","1,466 John J. Forster ",211 ,"",38.86%
Election Day Turnout ,"",587 40.04% James S. Bubar ,101 ,"",18.60%
Absentee Turnout ,"","13 0.89% Write In, if any ",8 ,"",1.47%
Provisional Turnout ,"",24 1.64% Total... ,543 ,"",100.00%
Total... ,"",624 42.56% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","",(Final)
Republican Registration & Turnout ,"","49 Write In, if any ",3 ,"",100.00%
Election Day Turnout ,"",5 10.20% Total... ,3 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"","",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"","",(Final)
"","",David W. Kranich ,1 ,"",25.00%
Total... ,"","5 10.20% Write In, if any ",3 ,"",75.00%
DC Statehood Green Party Registration & Turnout ,"",14 Total... ,4 ,"",100.00%
Election Day Turnout ,"",3 21.43%,"","",""
Absentee Turnout ,"",0 REP - CHAIRMAN OF THE COUNCIL 0.00%,"","",(Final)
Provisional Turnout ,"","0 0.00% Write In, if any ",3 ,"",100.00%
Total... ,"",3 21.43% Total... ,3 ,"",100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
Andy Miscuk ,"",14 2.33% Marcus Skelton ,1 ,"",25.00%
Eleanor Holmes Norton ,"","587 97.51% Write In, if any ",3 ,"",75.00%
"Write In, if any ","",1 0.17% Total... ,4 ,"",100.00%
Total... ,"",602 100.00% REP - UNITED STATES SENATOR ,"","",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","(Final) Write In, if any ",2 ,"",100.00%
Vincent Orange ,"",20 3.22% Total... ,2 ,"",100.00%
Adrian Fenty ,"",373 60.06% REP - UNITED STATES REPRESENTATIVE ,"","",(Final)
Michael A. Brown ,"","5 0.81% Write In, if any ",2 ,"",100.00%
Linda Cropp ,"",206 33.17%,"","",""
Artee (RT) Milligan ,"",1 0.16% Total... ,2 ,"",100.00%
Marie Johns ,"",16 2.58% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"","",(Final)
Nestor Djonkam ,"","0 0.00% Write In, if any ",2 ,"",100.00%
"Write In, if any ","",0 0.00% Total... ,2 ,"",100.00%
Total... ,"",621 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"","",(Final)
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Chris Otten ,0 ,"",0.00%
Vincent C. Gray ,"","515 84.29% Write In, if any ",3 ,"",100.00%
Kathy Patterson ,"",96 15.71% Total... ,3 ,"",100.00%
"Write In, if any ","",0 0.00%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL ,"","",(Final)
Total... ,"",611 100.00%,"","",""
"","","Write In, if any ",2 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) Total... ,2 ,"",100.00%
Phil Mendelson ,"",272 46.26%,"","",""
A. Scott Bolden ,"",314 53.40% SG - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
"Write In, if any ","",2 0.34% Ann C. Wilcox ,0 ,"",0.00%
"","","Write In, if any ",2,"",""
Total... ,"",588 100.00% ,"","",100.00%
"","",Total... ,2 ,"",100.00%
DEM - UNITED STATES SENATOR ,"",(Final),"","",""
Michael D. Brown ,"",450 78.81% SG - UNITED STATES SENATOR ,"","",(Final)
Philip Pannell ,"",117 20.49% Joyce Robinson-Paul ,2 ,"",100.00%
