"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 39 ,"",Precinct 39,"",""
Registration & Turnout ,"","3,102 DEM - WARD ONE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","1005 32.40% Write In, if any 6 ","",0.61%
Absentee Turnout ,"",42 1.35% Total... 976 ,"",100.00%
Provisional Turnout ,"",32 1.03%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"","1,079 34.78% Michael D. Brown 483 ","",64.75%
Democratic Registration & Turnout ,"","2,764 Philip Pannell 249 ","",33.38%
Election Day Turnout ,"","951 34.41% Write In, if any 14 ","",1.88%
Absentee Turnout ,"",39 1.41% Total... 746 ,"",100.00%
Provisional Turnout ,"",32 1.16%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","1,022 36.98% Mike Panetta 331 ","",50.92%
Republican Registration & Turnout ,"",222 John J. Forster 179 ,"",27.54%
Election Day Turnout ,"",24 10.81% James S. Bubar 117 ,"",18.00%
Absentee Turnout ,"","2 0.90% Write In, if any 23 ","",3.54%
Provisional Turnout ,"",0 0.00% Total... 650 ,"",100.00%
Total... ,"",26 11.71% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","116 Write In, if any 7 ","",100.00%
Election Day Turnout ,"",30 25.86% Total... 7 ,"",100.00%
Absentee Turnout ,"",1 0.86%,"",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"",(Final)
"","",David W. Kranich 15 ,"",60.00%
Total... ,"","31 26.72% Write In, if any 10 ","",40.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 25 ,"",100.00%
Andy Miscuk ,"",120 12.26%,"",""
Eleanor Holmes Norton ,"",852 REP - CHAIRMAN OF THE COUNCIL 87.03%,"",(Final)
"Write In, if any ","","7 0.72% Write In, if any 8 ","",100.00%
Total... ,"",979 100.00% Total... 8 ,"",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",10 0.98% Marcus Skelton 16 ,"",84.21%
Adrian Fenty ,"","636 62.60% Write In, if any 3 ","",15.79%
Michael A. Brown ,"",5 0.49% Total... 19 ,"",100.00%
Linda Cropp ,"",258 25.39% REP - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","0 0.00% Write In, if any 6 ","",100.00%
Marie Johns ,"",105 10.33%,"",""
Nestor Djonkam ,"",1 0.10% Total... 6 ,"",100.00%
"Write In, if any ","",1 0.10% REP - UNITED STATES SENATOR ,"",(Final)
Total... ,"","1,016 100.00% Write In, if any 1 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 1 ,"",100.00%
Vincent C. Gray ,"",406 42.78% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Kathy Patterson ,"","540 56.90% Write In, if any 1 ","",100.00%
"Write In, if any ","",3 0.32% Total... 1 ,"",100.00%
Total... ,"",949 100.00% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 9 ","",100.00%
Phil Mendelson ,"",721 78.03% Total... 9 ,"",100.00%
A. Scott Bolden ,"",199 21.54%,"",""
"Write In, if any ","",4 0.43% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Chris Otten 12,"",""
Total... ,"",924 100.00% ,"",41.38%
"","","Write In, if any 17 ","",58.62%
DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Total... 29 ,"",100.00%
Jim Graham ,"",881 90.27%,"",""
Chad Williams ,"",89 9.12%,"",""
