"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 43 ,"",Precinct 43,"",""
Registration & Turnout ,"","1,364 DEM - WARD ONE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","443 32.48% Write In, if any 1 ","",0.23%
Absentee Turnout ,"",9 0.66% Total... 437 ,"",100.00%
Provisional Turnout ,"",13 0.95%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"",465 34.09% Michael D. Brown 318 ,"",79.70%
Democratic Registration & Turnout ,"","1,246 Philip Pannell 75 ","",18.80%
Election Day Turnout ,"","432 34.67% Write In, if any 6 ","",1.50%
Absentee Turnout ,"",9 0.72% Total... 399 ,"",100.00%
Provisional Turnout ,"",13 1.04%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"",454 36.44% Mike Panetta 165 ,"",44.47%
Republican Registration & Turnout ,"",85 John J. Forster 150 ,"",40.43%
Election Day Turnout ,"",6 7.06% James S. Bubar 46 ,"",12.40%
Absentee Turnout ,"","0 0.00% Write In, if any 10 ","",2.70%
Provisional Turnout ,"",0 0.00% Total... 371 ,"",100.00%
Total... ,"",6 7.06% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","33 Write In, if any 1 ","",100.00%
Election Day Turnout ,"",5 15.15% Total... 1 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"",(Final)
"","",David W. Kranich 2 ,"",40.00%
Total... ,"","5 15.15% Write In, if any 3 ","",60.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 5 ,"",100.00%
Andy Miscuk ,"",28 6.39%,"",""
Eleanor Holmes Norton ,"",405 REP - CHAIRMAN OF THE COUNCIL 92.47%,"",(Final)
"Write In, if any ","","5 1.14% Write In, if any 2 ","",100.00%
Total... ,"",438 100.00% Total... 2 ,"",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",9 2.01% Marcus Skelton 3 ,"",100.00%
Adrian Fenty ,"","253 56.60% Write In, if any 0 ","",0.00%
Michael A. Brown ,"",2 0.45% Total... 3 ,"",100.00%
Linda Cropp ,"",146 32.66% REP - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","1 0.22% Write In, if any 1 ","",100.00%
Marie Johns ,"",33 7.38%,"",""
Nestor Djonkam ,"",2 0.45% Total... 1 ,"",100.00%
"Write In, if any ","",1 0.22% REP - UNITED STATES SENATOR ,"",(Final)
Total... ,"","447 100.00% Write In, if any 0 ","",0.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 0 ,"",0.00%
Vincent C. Gray ,"",300 69.28% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Kathy Patterson ,"","131 30.25% Write In, if any 1 ","",100.00%
"Write In, if any ","",2 0.46% Total... 1 ,"",100.00%
Total... ,"",433 100.00% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 3 ","",100.00%
Phil Mendelson ,"",236 56.87% Total... 3 ,"",100.00%
A. Scott Bolden ,"",176 42.41%,"",""
"Write In, if any ","",3 0.72% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
"","",Chris Otten 2,"",""
Total... ,"",415 100.00% ,"",50.00%
"","","Write In, if any 2 ","",50.00%
DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Total... 4 ,"",100.00%
Jim Graham ,"",321 73.46%,"",""
Chad Williams ,"",115 26.32%,"",""
