"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 17 ,"",Precinct 17,"","",""
Registration & Turnout ,"","3,946 DEM - UNITED STATES SENATOR ","","",(Final)
Election Day Turnout ,"","1000 25.34% Write In, if any ",7 ,"",0.87%
Absentee Turnout ,"",44 1.12% Total... ,802 ,"",100.00%
Provisional Turnout ,"",17 0.43%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"","",(Final)
Total... ,"","1,061 26.89% Mike Panetta ",429 ,"",58.53%
Democratic Registration & Turnout ,"","3,289 John J. Forster ",179 ,"",24.42%
Election Day Turnout ,"",949 28.85% James S. Bubar ,112 ,"",15.28%
Absentee Turnout ,"","40 1.22% Write In, if any ",13 ,"",1.77%
Provisional Turnout ,"",16 0.49% Total... ,733 ,"",100.00%
Total... ,"","1,005 30.56% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ","","",(Final)
Republican Registration & Turnout ,"","587 Write In, if any ",17 ,"",100.00%
Election Day Turnout ,"",45 7.67% Total... ,17 ,"",100.00%
Absentee Turnout ,"",4 0.68%,"","",""
Provisional Turnout ,"",1 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.17%,"","",(Final)
"","",David W. Kranich ,32 ,"",64.00%
Total... ,"","50 8.52% Write In, if any ",18 ,"",36.00%
DC Statehood Green Party Registration & Turnout ,"",70 Total... ,50 ,"",100.00%
Election Day Turnout ,"",6 8.57%,"","",""
Absentee Turnout ,"",0 REP - CHAIRMAN OF THE COUNCIL 0.00%,"","",(Final)
Provisional Turnout ,"","0 0.00% Write In, if any ",19 ,"",100.00%
Total... ,"",6 8.57% Total... ,19 ,"",100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
Andy Miscuk ,"",92 9.46% Marcus Skelton ,34 ,"",77.27%
Eleanor Holmes Norton ,"","875 89.93% Write In, if any ",10 ,"",22.73%
"Write In, if any ","",6 0.62% Total... ,44 ,"",100.00%
Total... ,"",973 100.00% REP - UNITED STATES SENATOR ,"","",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","(Final) Write In, if any ",11 ,"",100.00%
Vincent Orange ,"",10 1.00% Total... ,11 ,"",100.00%
Adrian Fenty ,"",547 54.86% REP - UNITED STATES REPRESENTATIVE ,"","",(Final)
Michael A. Brown ,"","8 0.80% Write In, if any ",14 ,"",100.00%
Linda Cropp ,"",336 33.70%,"","",""
Artee (RT) Milligan ,"",0 0.00% Total... ,14 ,"",100.00%
Marie Johns ,"",96 9.63% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"","",(Final)
Nestor Djonkam ,"","0 0.00% Write In, if any ",4 ,"",100.00%
"Write In, if any ","",0 0.00% Total... ,4 ,"",100.00%
Total... ,"",997 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"","",(Final)
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Chris Otten ,3 ,"",50.00%
Vincent C. Gray ,"","410 43.34% Write In, if any ",3 ,"",50.00%
Kathy Patterson ,"",533 56.34% Total... ,6 ,"",100.00%
"Write In, if any ","",3 0.32%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL ,"","",(Final)
Total... ,"",946 100.00%,"","",""
"","","Write In, if any ",3 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) Total... ,3 ,"",100.00%
Phil Mendelson ,"",700 74.87%,"","",""
A. Scott Bolden ,"",232 24.81%SG - AT-LARGE MEMBER OF THE COUNCIL,"","",(Final)
"Write In, if any ","",3 0.32% Ann C. Wilcox ,6 ,"",100.00%
"","","Write In, if any ",0,"",""
Total... ,"",935 100.00% ,"","",0.00%
"","",Total... ,6 ,"",100.00%
DEM - UNITED STATES SENATOR ,"",(Final),"","",""
Michael D. Brown ,"",511 63.72% SG - UNITED STATES SENATOR ,"","",(Final)
Philip Pannell ,"",284 35.41% Joyce Robinson-Paul ,6 ,"",100.00%
