"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 41 ,"",Precinct 41,"",""
Registration & Turnout ,"","2,447 DEM - WARD ONE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","693 28.32% Write In, if any 7 ","",1.02%
Absentee Turnout ,"",16 0.65% Total... 683 ,"",100.00%
Provisional Turnout ,"",21 0.86%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"",730 29.83% Michael D. Brown 454 ,"",76.82%
Democratic Registration & Turnout ,"","2,211 Philip Pannell 129 ","",21.83%
Election Day Turnout ,"","673 30.44% Write In, if any 8 ","",1.35%
Absentee Turnout ,"",16 0.72% Total... 591 ,"",100.00%
Provisional Turnout ,"",20 0.90%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"",709 32.07% Mike Panetta 250 ,"",45.79%
Republican Registration & Turnout ,"",164 John J. Forster 187 ,"",34.25%
Election Day Turnout ,"",12 7.32% James S. Bubar 99 ,"",18.13%
Absentee Turnout ,"","0 0.00% Write In, if any 10 ","",1.83%
Provisional Turnout ,"",1 0.61% Total... 546 ,"",100.00%
Total... ,"",13 7.93% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","72 Write In, if any 3 ","",100.00%
Election Day Turnout ,"",8 11.11% Total... 3 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"",(Final)
"","",David W. Kranich 8 ,"",72.73%
Total... ,"","8 11.11% Write In, if any 3 ","",27.27%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 11 ,"",100.00%
Andy Miscuk ,"",33 4.90%,"",""
Eleanor Holmes Norton ,"",637 REP - CHAIRMAN OF THE COUNCIL 94.51%,"",(Final)
"Write In, if any ","","4 0.59% Write In, if any 2 ","",100.00%
Total... ,"",674 100.00% Total... 2 ,"",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",16 2.27% Marcus Skelton 9 ,"",81.82%
Adrian Fenty ,"","436 61.93% Write In, if any 2 ","",18.18%
Michael A. Brown ,"",5 0.71% Total... 11 ,"",100.00%
Linda Cropp ,"",189 26.85% REP - WARD ONE MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","0 0.00% Write In, if any 4 ","",100.00%
Marie Johns ,"",54 7.67%,"",""
Nestor Djonkam ,"",1 0.14% Total... 4 ,"",100.00%
"Write In, if any ","",3 0.43% REP - UNITED STATES SENATOR ,"",(Final)
Total... ,"","704 100.00% Write In, if any 2 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 2 ,"",100.00%
Vincent C. Gray ,"",397 60.70% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Kathy Patterson ,"","254 38.84% Write In, if any 2 ","",100.00%
"Write In, if any ","",3 0.46% Total... 2 ,"",100.00%
Total... ,"",654 100.00% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 1 ","",100.00%
Phil Mendelson ,"",431 67.24% Total... 1 ,"",100.00%
A. Scott Bolden ,"",206 32.14%,"",""
"Write In, if any ","",4 SG - MAYOR OF THE DISTRICT OF COLUMBIA 0.62%,"",(Final)
"","",Chris Otten 5,"",""
Total... ,"",641 100.00% ,"",71.43%
"","","Write In, if any 2 ","",28.57%
DEM - WARD ONE MEMBER OF THE COUNCIL ,"",(Final) Total... 7 ,"",100.00%
Jim Graham ,"",569 83.31%,"",""
Chad Williams ,"",107 15.67%,"",""
