"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Subdivision Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
City of Washington Ward 1 ,City of Washington Ward 1,"","",""
Registration & Turnout (0) ,"35,398 DEM - UNITED STATES SENATOR (16) ","",16/16 ,100.00%
Election Day Turnout ,"10,555 29.82% Michael D. Brown ","","5,801 ",70.03%
Absentee Turnout ,385 1.09% Philip Pannell ,"","2,317 ",27.97%
Provisional Turnout ,"371 1.05% Write In, if any ","",166 ,2.00%
Total... ,"11,311 31.95% Total... ","","8,284 ",100.00%
Democratic Registration & Turnout (0) ,"31,620 DEM - UNITED STATES REPRESENTATIVE (16) ","",16/16 ,100.00%
Election Day Turnout ,"10,229 32.35% Mike Panetta ","","3,784 ",50.66%
Absentee Turnout ,377 1.19% John J. Forster ,"","2,126 ",28.46%
Provisional Turnout ,360 1.14% James S. Bubar ,"","1,325 ",17.74%
Total... ,"10,966 34.68% Write In, if any ","",234 ,3.13%
Republican Registration & Turnout (0) ,"2,800 Total... ","","7,469 ",100.00%
Election Day Turnout ,188 6.71% REP - DELEGATE TO THE U.S. HOUSE OF REP(R1E6)S ,"",16/16 ,100.00%
Absentee Turnout ,"6 0.21% Write In, if any ","",51 ,100.00%
Provisional Turnout ,9 0.32% Total... ,"",51 ,100.00%
Total... ,203 7.25% REP - MAYOR OF THE DISTRICT OF COLUMBI(A16) ,"",16/16 ,100.00%
DC Statehood Green Party Registration & Turno(u0t) ,978 David W. Kranich ,"",130 ,71.82%
Election Day Turnout ,"138 14.11% Write In, if any ","",51 ,28.18%
Absentee Turnout ,2 0.20% Total... ,"",181 ,100.00%
Provisional Turnout ,2 0.20% REP - CHAIRMAN OF THE COUNCIL (16) ,"",16/16 ,100.00%
Total... ,"142 14.52% Write In, if any ","",51 ,100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REP(1R6E)S ,16/16 100.00% Total... ,"",51 ,100.00%
Andy Miscuk ,"1,142 10.86% REP - AT-LARGE MEMBER OF THE COUNCIL (16) ","",16/16 ,100.00%
Eleanor Holmes Norton ,"9,310 88.51% Marcus Skelton ","",148 ,92.50%
"Write In, if any ","67 0.64% Write In, if any ","",12 ,7.50%
Total... ,"10,519 100.00% Total... ","",160 ,100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBI(A16) ,16/16 100.00% REP - WARD ONE MEMBER OF THE COUNCIL (16) ,"",16/16 ,100.00%
Vincent Orange ,"181 1.66% Write In, if any ","",46 ,100.00%
Adrian Fenty ,"6,706 61.49% Total... ","",46 ,100.00%
Michael A. Brown ,53 0.49%,"","",""
Linda Cropp ,"2,912 26.70% REP - UNITED STATES SENATOR (16) ","",16/16 ,100.00%
Artee (RT) Milligan ,"6 0.06% Write In, if any ","",23 ,100.00%
Marie Johns ,"1,020 9.35% Total... ","",23 ,100.00%
Nestor Djonkam ,13 0.12% REP - UNITED STATES REPRESENTATIVE (16) ,"",16/16 ,100.00%
"Write In, if any ","14 0.13% Write In, if any ","",25 ,100.00%
Total... ,"10,905 100.00% Total... ","",25 ,100.00%
DEM - CHAIRMAN OF THE COUNCIL (16) ,16/16 100.00% SG - DELEGATE TO THE U.S. HOUSE OF REPR(E16S)E ,"",16/16 ,100.00%
Vincent C. Gray ,"5,230 51.03% Write In, if any ","",54 ,100.00%
Kathy Patterson ,"4,998 48.77% Total... ","",54 ,100.00%
"Write In, if any ",21 0.20%,"","",""
Total... ,"10,249 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA(16) ","",16/16 ,100.00%
"",Chris Otten,"","",""
DEM - AT-LARGE MEMBER OF THE COUNCIL (16),16/16100.00%,"",75 ,55.15%
"","Write In, if any ","",61 ,44.85%
Phil Mendelson ,"7,375 74.53% Total... ","",136 ,100.00%
A. Scott Bolden ,"2,474 25.00%","","",""
"",(16) ,"",16/16 ,100.00%
"Write In, if any ",SG - CHAIRMAN OF THE COUNCIL470.47%,"","",""
Total... ,"9,896 100.00% Write In, if any ","",46 ,100.00%
"",Total... ,"",46 ,100.00%
DEM - WARD ONE MEMBER OF THE COUNCIL (16) ,16/16 100.00%,"","",""
Jim Graham,"SG - AT-LARGE MEMBER OF THE COUNCIL (16) 9,02886.32%","",16/16 ,100.00%
Chad Williams ,"1,361 13.01% Ann C. Wilcox ","",111 ,90.24%
"Write In, if any ","70 0.67% Write In, if any ","",12 ,9.76%
Total... ,"10,459 100.00% Total... ","",123 ,100.00%
