"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 103 ,"",Precinct 103,"","",""
Registration & Turnout ,"","3,108 DEM - UNITED STATES SENATOR ","","",(Final)
Election Day Turnout ,"","908 29.21% Write In, if any ",5 ,"",0.62%
Absentee Turnout ,"",18 0.58% Total... ,803 ,"",100.00%
Provisional Turnout ,"",29 0.93%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"","",(Final)
Total... ,"",955 30.73% Mike Panetta ,322 ,"",43.87%
Democratic Registration & Turnout ,"","2,933 John J. Forster ",293 ,"",39.92%
Election Day Turnout ,"",897 30.58% James S. Bubar ,108 ,"",14.71%
Absentee Turnout ,"","18 0.61% Write In, if any ",11 ,"",1.50%
Provisional Turnout ,"",29 0.99% Total... ,734 ,"",100.00%
Total... ,"",944 32.19% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","",(Final)
Republican Registration & Turnout ,"","132 Write In, if any ",3 ,"",100.00%
Election Day Turnout ,"",10 7.58% Total... ,3 ,"",100.00%
Absentee Turnout ,"",0 0.00%,"","",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"","",(Final)
"","",David W. Kranich ,3 ,"",33.33%
Total... ,"","10 7.58% Write In, if any ",6 ,"",66.67%
DC Statehood Green Party Registration & Turnout ,"",43 Total... ,9 ,"",100.00%
Election Day Turnout ,"",1 2.33%,"","",""
Absentee Turnout ,"",0 REP - CHAIRMAN OF THE COUNCIL 0.00%,"","",(Final)
Provisional Turnout ,"","0 0.00% Write In, if any ",2 ,"",100.00%
Total... ,"",1 2.33% Total... ,2 ,"",100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
Andy Miscuk ,"",33 3.64% Marcus Skelton ,5 ,"",83.33%
Eleanor Holmes Norton ,"","870 96.03% Write In, if any ",1 ,"",16.67%
"Write In, if any ","",3 0.33% Total... ,6 ,"",100.00%
Total... ,"",906 100.00% REP - UNITED STATES SENATOR ,"","",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","(Final) Write In, if any ",2 ,"",100.00%
Vincent Orange ,"",36 3.83% Total... ,2 ,"",100.00%
Adrian Fenty ,"",522 55.59% REP - UNITED STATES REPRESENTATIVE ,"","",(Final)
Michael A. Brown ,"","8 0.85% Write In, if any ",2 ,"",100.00%
Linda Cropp ,"",338 36.00%,"","",""
Artee (RT) Milligan ,"",1 0.11% Total... ,2 ,"",100.00%
Marie Johns ,"",33 3.51% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"","",(Final)
Nestor Djonkam ,"","1 0.11% Write In, if any ",0 ,"",0.00%
"Write In, if any ","",0 0.00% Total... ,0 ,"",0.00%
Total... ,"",939 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"","",(Final)
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Chris Otten ,1 ,"",100.00%
Vincent C. Gray ,"","745 82.41% Write In, if any ",0 ,"",0.00%
Kathy Patterson ,"",158 17.48% Total... ,1 ,"",100.00%
"Write In, if any ","",1 0.11%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL ,"","",(Final)
Total... ,"",904 100.00%,"","",""
"","","Write In, if any ",0 ,"",0.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) Total... ,0 ,"",0.00%
Phil Mendelson ,"",382 45.10%,"","",""
A. Scott Bolden ,"",458 54.07% SG - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
"Write In, if any ","",7 0.83% Ann C. Wilcox ,1 ,"",100.00%
"","","Write In, if any ",0,"",""
Total... ,"",847 100.00% ,"","",0.00%
"","",Total... ,1 ,"",100.00%
DEM - UNITED STATES SENATOR ,"",(Final),"","",""
Michael D. Brown ,"",666 82.94% SG - UNITED STATES SENATOR ,"","",(Final)
Philip Pannell ,"",132 16.44% Joyce Robinson-Paul ,1 ,"",100.00%
