"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Subdivision Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
City of Washington Ward 4 ,City of Washington Ward 4,"","",""
Registration & Turnout (0) ,"46,494 DEM - UNITED STATES REPRESENTATIVE (20) ","",20/20 ,100.00%
Election Day Turnout ,"19,013 40.89% Mike Panetta ","","6,603 ",44.85%
Absentee Turnout ,571 1.23% John J. Forster ,"","4,958 ",33.68%
Provisional Turnout ,415 0.89% James S. Bubar ,"","2,822 ",19.17%
Total... ,"19,999 43.01% Write In, if any ","",340 ,2.31%
Democratic Registration & Turnout (0) ,"42,911 Total... ","","14,723 ",100.00%
Election Day Turnout ,"18,644 43.45% REP - DELEGATE TO THE U.S. HOUSE OF REP(R2E0)S ","",20/20 ,100.00%
Absentee Turnout ,"559 1.30% Write In, if any ","",87 ,100.00%
Provisional Turnout ,411 0.96% Total... ,"",87 ,100.00%
Total... ,"19,614 45.71% REP - MAYOR OF THE DISTRICT OF COLUMBI(A20) ","",20/20 ,100.00%
Republican Registration & Turnout (0) ,"2,927 David W. Kranich ","",141 ,49.30%
Election Day Turnout ,"293 10.01% Write In, if any ","",145 ,50.70%
Absentee Turnout ,11 0.38% Total... ,"",286 ,100.00%
Provisional Turnout ,4 0.14% REP - CHAIRMAN OF THE COUNCIL (20) ,"",20/20 ,100.00%
Total... ,"308 10.52% Write In, if any ","",93 ,100.00%
DC Statehood Green Party Registration & Turno(u0t) ,656 Total... ,"",93 ,100.00%
Election Day Turnout ,76 11.59% REP - AT-LARGE MEMBER OF THE COUNCIL (20) ,"",20/20 ,100.00%
Absentee Turnout ,1 0.15% Marcus Skelton ,"",183 ,78.21%
Provisional Turnout ,"0 0.00% Write In, if any ","",51 ,21.79%
Total... ,77 11.74% Total... ,"",234 ,100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REP(2R0E)S ,20/20 100.00% REP - UNITED STATES SENATOR (20) ,"",20/20 ,100.00%
Andy Miscuk ,"901 4.76% Write In, if any ","",46 ,100.00%
Eleanor Holmes Norton ,"17,909 94.54% Total... ","",46 ,100.00%
"Write In, if any ",134 0.71%,"","",""
Total... ,"18,944 100.00% REP - UNITED STATES REPRESENTATIVE (20) ","",20/20 ,100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBI(A20) ,"20/20 100.00% Write In, if any ","",43 ,100.00%
"",Total... ,"",43 ,100.00%
Vincent Orange ,321 1.64%,"","",""
Adrian Fenty ,"13,455 68.83% SG - DELEGATE TO THE U.S. HOUSE OF REPR(E20S)E ","",20/20 ,100.00%
Michael A. Brown ,"81 0.41% Write In, if any ","",35 ,100.00%
Linda Cropp ,"4,670 23.89% Total... ","",35 ,100.00%
Artee (RT) Milligan ,27 0.14% SG - MAYOR OF THE DISTRICT OF COLUMBIA(20) ,"",20/20 ,100.00%
Marie Johns ,959 4.91% Chris Otten ,"",34 ,45.95%
Nestor Djonkam ,"12 0.06% Write In, if any ","",40 ,54.05%
"Write In, if any ",22 0.11% Total... ,"",74 ,100.00%
Total... ,"19,547 100.00%","","",""
"",SG - CHAIRMAN OF THE COUNCIL (20) ,"",20/20 ,100.00%
DEM - CHAIRMAN OF THE COUNCIL (20) ,20/20 100.00%,"","",""
"","Write In, if any ","",34 ,100.00%
Vincent C. Gray ,"11,777 62.18% Total... ","",34 ,100.00%
Kathy Patterson ,"7,117 37.58%","","",""
"Write In, if any",SG - AT-LARGE MEMBER OF THE COUNCIL (20) 450.24%,"",20/20 ,100.00%
Total... ,"18,939 100.00% Ann C. Wilcox ","",54 ,81.82%
"","Write In, if any","","",""
DEM - AT-LARGE MEMBER OF THE COUNCIL (20),20/20100.00%,"",12 ,18.18%
"",Total... ,"",66 ,100.00%
Phil Mendelson ,"10,441 56.62%","","",""
A. Scott Bolden ,"SG - UNITED STATES SENATOR (20) 7,91142.90%","",20/20 ,100.00%
"Write In, if any ",88 0.48% Joyce Robinson-Paul ,"",57 ,90.48%
Total... ,"18,440 100.00% Write In, if any ","",6 ,9.52%
"",Total... ,"",63 ,100.00%
DEM - UNITED STATES SENATOR (20) ,20/20 100.00%,"","",""
"",(20) ,"",20/20 ,100.00%
Michael D. Brown ,"SG - UNITED STATES REPRESENTATIVE12,13674.51%","","",""
Philip Pannell ,"3,927 24.11% Keith R. Ware ","",57 ,91.94%
"Write In, if any ","225 1.38% Write In, if any ","",5 ,8.06%
Total... ,"16,288 100.00% Total... ","",62 ,100.00%
