"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 88 ,Precinct 88,"",""
DEM - WARD SIX MEMBER OF THE COUNCIL ,(Final) SG - CHAIRMAN OF THE COUNCIL ,"",(Final)
"Write In, if any ","23 2.67% Write In, if any ",1 ,100.00%
Total... ,860 100.00% Total... ,1 ,100.00%
DEM - UNITED STATES SENATOR ,(Final) SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Michael D. Brown ,385 64.38% Ann C. Wilcox ,4 ,80.00%
Philip Pannell ,"197 32.94% Write In, if any ",1 ,20.00%
"Write In, if any ",16 2.68% Total... ,5 ,100.00%
Total... ,598 100.00% SG - WARD SIX MEMBER OF THE COUNCIL ,"",(Final)
DEM - UNITED STATES REPRESENTATIVE ,"(Final) Write In, if any ",0 ,0.00%
Mike Panetta ,312 56.62% Total... ,0 ,0.00%
John J. Forster ,122 22.14%,"",""
James S. Bubar ,97 SG - UNITED STATES SENATOR 17.60%,"",(Final)
"Write In, if any ",20 3.63% Joyce Robinson-Paul ,4 ,100.00%
"","Write In, if any ",0 ,0.00%
Total... ,551 100.00%,"",""
"",Total... ,4 ,100.00%
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final),"",""
"Write In, if any ",9 SG - UNITED STATES REPRESENTATIVE 100.00%,"",(Final)
"",Keith R. Ware ,3 ,75.00%
Total... ,"9 100.00% Write In, if any ",1 ,25.00%
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final) Total... ,4 ,100.00%
David W. Kranich ,21 91.30%,"",""
"Write In, if any ",2 8.70%,"",""
Total... ,23 100.00%,"",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"",""
"Write In, if any ",1 100.00%,"",""
Total... ,1 100.00%,"",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"",""
Marcus Skelton ,23 100.00%,"",""
"Write In, if any ",0 0.00%,"",""
Total... ,23 100.00%,"",""
REP - WARD SIX MEMBER OF THE COUNCIL ,(Final),"",""
Tony Williams ,23 100.00%,"",""
"Write In, if any ",0 0.00%,"",""
Total... ,23 100.00%,"",""
REP - UNITED STATES SENATOR ,(Final),"",""
"Write In, if any ",4 100.00%,"",""
Total... ,4 100.00%,"",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"",""
"Write In, if any ",3 100.00%,"",""
Total... ,3 100.00%,"",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"",""
"Write In, if any ",2 100.00%,"",""
Total... ,2 100.00%,"",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"",""
Chris Otten ,5 100.00%,"",""
"Write In, if any ",0 0.00%,"",""
Total... ,5 100.00%,"",""
