"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 127 ,"",Precinct 127,"",""
Registration & Turnout ,"","3,561 DEM - WARD SIX MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"","1275 35.80% Write In, if any 13 ","",1.07%
Absentee Turnout ,"","43 1.21% Total... 1,213 ","",100.00%
Provisional Turnout ,"",33 0.93%,"",""
"","",DEM - UNITED STATES SENATOR ,"",(Final)
Total... ,"","1,351 37.94% Michael D. Brown 725 ","",68.59%
Democratic Registration & Turnout ,"","3,190 Philip Pannell 313 ","",29.61%
Election Day Turnout ,"","1219 38.21% Write In, if any 19 ","",1.80%
Absentee Turnout ,"","41 1.29% Total... 1,057 ","",100.00%
Provisional Turnout ,"",30 0.94%,"",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","1,290 40.44% Mike Panetta 469 ","",47.91%
Republican Registration & Turnout ,"",299 John J. Forster 306 ,"",31.26%
Election Day Turnout ,"",44 14.72% James S. Bubar 182 ,"",18.59%
Absentee Turnout ,"","1 0.33% Write In, if any 22 ","",2.25%
Provisional Turnout ,"",2 0.67% Total... 979 ,"",100.00%
Total... ,"",47 15.72% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DC Statehood Green Party Registration & Turnout ,"","72 Write In, if any 16 ","",100.00%
Election Day Turnout ,"",12 16.67% Total... 16 ,"",100.00%
Absentee Turnout ,"",1 1.39%,"",""
Provisional Turnout ,"",1 REP - MAYOR OF THE DISTRICT OF COLUMBIA 1.39%,"",(Final)
"","",David W. Kranich 35 ,"",77.78%
Total... ,"","14 19.44% Write In, if any 10 ","",22.22%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 45 ,"",100.00%
Andy Miscuk ,"",89 7.11%,"",""
Eleanor Holmes Norton ,"",1153 REP - CHAIRMAN OF THE COUNCIL 92.17%,"",(Final)
"Write In, if any ","","9 0.72% Write In, if any 17 ","",100.00%
Total... ,"","1,251 100.00% Total... 17 ","",100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
Vincent Orange ,"",31 2.42% Marcus Skelton 33 ,"",82.50%
Adrian Fenty ,"","665 51.91% Write In, if any 7 ","",17.50%
Michael A. Brown ,"",9 0.70% Total... 40 ,"",100.00%
Linda Cropp ,"",471 36.77% REP - WARD SIX MEMBER OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"",4 0.31% Tony Williams 39 ,"",86.67%
Marie Johns ,"","100 7.81% Write In, if any 6 ","",13.33%
Nestor Djonkam ,"",0 0.00%,"",""
"Write In, if any ","",1 0.08% Total... 45 ,"",100.00%
Total... ,"","1,281 100.00% REP - UNITED STATES SENATOR ","",(Final)
"","","Write In, if any 9 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final),"",""
Vincent C. Gray ,"",770 62.15% Total... 9 ,"",100.00%
Kathy Patterson ,"",460 37.13% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
"Write In, if any ","","9 0.73% Write In, if any 9 ","",100.00%
Total... ,"","1,239 100.00% Total... 9 ","",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Phil Mendelson ,"","713 58.78% Write In, if any 7 ","",100.00%
A. Scott Bolden ,"",495 40.81% Total... 7 ,"",100.00%
"Write In, if any ","",5 0.41%,"",""
"","",SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Total... ,"","1,213 100.00%","",""
"","",Chris Otten 7 ,"",53.85%
DEM - WARD SIX MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 6 ","",46.15%
Leo Pinson ,"",113 9.32% Total... 13 ,"",100.00%
"Curtis L. Etherly, Jr. ","",433 35.70%,"",""
Tommy Wells ,"",654 53.92%,"",""
