"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 31 ,"",Precinct 31,"",""
Registration & Turnout ,"","2,381 DEM - WARD THREE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",1158 48.64% Sam Brooks 86 ,"",7.36%
Absentee Turnout ,"",52 2.18% Erik S. Gaull 60 ,"",5.13%
Provisional Turnout ,"",28 1.18% Eric Goulet 15 ,"",1.28%
Total... ,"","1,238 51.99% Cathy Wiss 143 ","",12.23%
"","",Mary M. Cheh 422 ,"",36.10%
Democratic Registration & Turnout ,"","1,960 Robert Gordon 87 ","",7.44%
Election Day Turnout ,"","1112 56.73% Write In, if any 2 ","",0.17%
Absentee Turnout ,"",49 2.50%,"",""
Provisional Turnout ,"","26 Total... 1,169 1.33%","",100.00%
Total... ,"","1,187 60.56% DEM - UNITED STATES SENATOR ","",(Final)
"","",Michael D. Brown 616 ,"",77.10%
Republican Registration & Turnout ,"",402 Philip Pannell 163 ,"",20.40%
Election Day Turnout ,"","45 11.19% Write In, if any 20 ","",2.50%
Absentee Turnout ,"",2 0.50%,"",""
Provisional Turnout ,"",2 Total... 799 0.50%,"",100.00%
Total... ,"",49 12.19% DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
"","",Mike Panetta 364 ,"",56.79%
DC Statehood Green Party Registration & Turnout ,"",19 John J. Forster 111 ,"",17.32%
Election Day Turnout ,"",1 5.26% James S. Bubar 135 ,"",21.06%
Absentee Turnout ,"","1 5.26% Write In, if any 31 ","",4.84%
Provisional Turnout ,"",0 0.00%,"",""
"","",Total... 641 ,"",100.00%
Total... ,"",2 10.53%,"",""
"","",REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","(Final) Write In, if any 8 ","",100.00%
Andy Miscuk ,"",112 9.78%,"",""
Eleanor Holmes Norton ,"",1022 Total... 8 89.26%,"",100.00%
"Write In, if any ","",11 0.96% REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Total... ,"","1,145 100.00% David W. Kranich 34 ","",72.34%
"","","Write In, if any 13 ","",27.66%
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final),"",""
Vincent Orange ,"",11 Total... 47 0.93%,"",100.00%
Adrian Fenty ,"",699 58.99% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Michael A. Brown ,"","5 0.42% Write In, if any 8 ","",100.00%
Linda Cropp ,"",323 27.26% Total... 8 ,"",100.00%
Artee (RT) Milligan ,"",2 0.17%,"",""
Marie Johns ,"",144 REP - AT-LARGE MEMBER OF THE COUNCIL 12.15%,"",(Final)
Nestor Djonkam ,"",0 0.00% Marcus Skelton 40 ,"",95.24%
"Write In, if any ","","1 0.08% Write In, if any 2 ","",4.76%
Total... ,"","1,185 100.00% Total... 42 ","",100.00%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) REP - WARD THREE MEMBER OF THE COUNCIL ,"",(Final)
Vincent C. Gray ,"",274 23.66% Theresa Conroy 38 ,"",90.48%
Kathy Patterson ,"","881 76.08% Write In, if any 4 ","",9.52%
"Write In, if any ","",3 0.26% Total... 42 ,"",100.00%
Total... ,"","1,158 100.00% REP - UNITED STATES SENATOR ","",(Final)
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"","(Final) Write In, if any 4 ","",100.00%
Phil Mendelson ,"",974 88.22% Total... 4 ,"",100.00%
A. Scott Bolden ,"",124 11.23% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
"Write In, if any ","","6 0.54% Write In, if any 5 ","",100.00%
Total... ,"","1,104 100.00% Total... 5 ","",100.00%
DEM - WARD THREE MEMBER OF THE COUNCIL ,"",(Final) SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Bill Rice ,"","186 15.91% Write In, if any 2 ","",100.00%
Paul Strauss ,"",165 14.11%,"",""
Jonathan Rees ,"",3 0.26% Total... 2 ,"",100.00%
