"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Precinct Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
Precinct 109 ,"",Precinct 109,"","",""
Registration & Turnout ,"","1,012 DEM - UNITED STATES SENATOR ","","",(Final)
Election Day Turnout ,"","490 48.42% Write In, if any ",7 ,"",1.56%
Absentee Turnout ,"",22 2.17% Total... ,448 ,"",100.00%
Provisional Turnout ,"",5 0.49%,"","",""
"","",DEM - UNITED STATES REPRESENTATIVE ,"","",(Final)
Total... ,"",517 51.09% Mike Panetta ,196 ,"",48.76%
Democratic Registration & Turnout ,"",960 John J. Forster ,138 ,"",34.33%
Election Day Turnout ,"",479 49.90% James S. Bubar ,57 ,"",14.18%
Absentee Turnout ,"","19 1.98% Write In, if any ",11 ,"",2.74%
Provisional Turnout ,"",5 0.52% Total... ,402 ,"",100.00%
Total... ,"",503 52.40% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","",(Final)
Republican Registration & Turnout ,"","43 Write In, if any ",6 ,"",100.00%
Election Day Turnout ,"",9 20.93% Total... ,6 ,"",100.00%
Absentee Turnout ,"",3 6.98%,"","",""
Provisional Turnout ,"",0 REP - MAYOR OF THE DISTRICT OF COLUMBIA 0.00%,"","",(Final)
"","",David W. Kranich ,4 ,"",33.33%
Total... ,"","12 27.91% Write In, if any ",8 ,"",66.67%
DC Statehood Green Party Registration & Turnout ,"",9 Total... ,12 ,"",100.00%
Election Day Turnout ,"",2 22.22%,"","",""
Absentee Turnout ,"",0 REP - CHAIRMAN OF THE COUNCIL 0.00%,"","",(Final)
Provisional Turnout ,"","0 0.00% Write In, if any ",4 ,"",100.00%
Total... ,"",2 22.22% Total... ,4 ,"",100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) REP - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
Andy Miscuk ,"",19 3.89% Marcus Skelton ,7 ,"",70.00%
Eleanor Holmes Norton ,"","469 95.91% Write In, if any ",3 ,"",30.00%
"Write In, if any ","",1 0.20% Total... ,10 ,"",100.00%
Total... ,"",489 100.00% REP - UNITED STATES SENATOR ,"","",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"","(Final) Write In, if any ",2 ,"",100.00%
Vincent Orange ,"",11 2.20% Total... ,2 ,"",100.00%
Adrian Fenty ,"",246 49.10% REP - UNITED STATES REPRESENTATIVE ,"","",(Final)
Michael A. Brown ,"","0 0.00% Write In, if any ",5 ,"",100.00%
Linda Cropp ,"",224 44.71%,"","",""
Artee (RT) Milligan ,"",0 0.00% Total... ,5 ,"",100.00%
Marie Johns ,"",20 3.99% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"","",(Final)
Nestor Djonkam ,"","0 0.00% Write In, if any ",1 ,"",100.00%
"Write In, if any ","",0 0.00% Total... ,1 ,"",100.00%
Total... ,"",501 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"","",(Final)
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Chris Otten ,0 ,"",0.00%
Vincent C. Gray ,"","397 81.02% Write In, if any ",1 ,"",100.00%
Kathy Patterson ,"",93 18.98% Total... ,1 ,"",100.00%
"Write In, if any ","",0 0.00%,"","",""
"","",SG - CHAIRMAN OF THE COUNCIL ,"","",(Final)
Total... ,"",490 100.00%,"","",""
"","","Write In, if any ",0 ,"",0.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) Total... ,0 ,"",0.00%
Phil Mendelson ,"",235 49.16%,"","",""
A. Scott Bolden ,"",243 50.84% SG - AT-LARGE MEMBER OF THE COUNCIL ,"","",(Final)
"Write In, if any ","",0 0.00% Ann C. Wilcox ,2 ,"",100.00%
"","","Write In, if any ",0,"",""
Total... ,"",478 100.00% ,"","",0.00%
"","",Total... ,2 ,"",100.00%
DEM - UNITED STATES SENATOR ,"",(Final),"","",""
Michael D. Brown ,"",327 72.99% SG - UNITED STATES SENATOR ,"","",(Final)
Philip Pannell ,"",114 25.45% Joyce Robinson-Paul ,2 ,"",100.00%
